Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,8.875,8.875,8.75,8.75,10900,AEM
1985-01-03,8.75,8.75,8.625,8.625,15100,AEM
1985-01-04,8.625,8.625,8.5,8.5,8312,AEM
1985-01-07,8.75,8.875,8.75,8.75,31003,AEM
1985-01-08,8.75,8.75,8.625,8.75,11450,AEM
1985-01-09,8.875,9.0,8.875,9.0,10275,AEM
1985-01-10,9.125,9.25,9.125,9.25,9925,AEM
1985-01-11,9.125,9.25,9.0,9.125,11376,AEM
1985-01-14,9.125,9.25,9.125,9.25,15760,AEM
1985-01-15,9.25,9.25,9.25,9.25,18950,AEM
1985-01-16,9.375,9.5,9.25,9.375,16200,AEM
1985-01-17,9.75,9.875,9.75,9.75,37900,AEM
1985-01-18,10.0,10.0,10.0,10.0,38800,AEM
1985-01-21,10.375,10.5,10.375,10.5,22800,AEM
1985-01-22,10.125,10.125,10.0,10.0,25975,AEM
1985-01-23,10.0,10.0,9.75,9.875,28952,AEM
1985-01-24,9.75,9.75,9.625,9.75,18650,AEM
1985-01-25,9.625,9.75,9.625,9.75,14037,AEM
1985-01-28,9.625,9.75,9.5,9.625,10360,AEM
1985-01-29,9.625,9.75,9.625,9.75,8250,AEM
1985-01-30,9.875,9.875,9.75,9.875,28645,AEM
1985-01-31,9.875,10.0,9.875,10.0,13654,AEM
1985-02-01,9.875,10.0,9.875,10.0,10350,AEM
1985-02-04,9.875,10.0,9.75,9.875,5500,AEM
1985-02-05,9.875,9.875,9.75,9.875,25293,AEM
1985-02-06,9.875,10.0,9.875,9.875,6512,AEM
1985-02-07,9.875,10.0,9.75,9.875,12625,AEM
1985-02-08,9.875,9.875,9.75,9.75,5144,AEM
1985-02-11,10.0,10.0,10.0,10.0,17800,AEM
1985-02-12,10.0,10.0,10.0,10.0,4545,AEM
1985-02-13,10.0,10.25,10.0,10.125,11375,AEM
1985-02-14,10.0,10.125,10.0,10.0,3500,AEM
1985-02-15,10.25,10.375,10.25,10.25,13350,AEM
1985-02-19,10.25,10.25,10.125,10.25,9200,AEM
1985-02-20,10.125,10.25,10.125,10.25,4830,AEM
1985-02-21,10.0,10.0,10.0,10.0,10840,AEM
1985-02-22,10.0,10.0,9.875,9.875,14050,AEM
1985-02-25,9.0,9.0,8.875,9.0,45225,AEM
1985-02-26,9.125,9.25,9.125,9.25,22400,AEM
1985-02-27,9.375,9.5,9.375,9.5,52504,AEM
1985-02-28,9.375,9.5,9.375,9.375,12468,AEM
1985-03-01,9.375,9.5,9.375,9.5,13627,AEM
1985-03-04,9.375,9.5,9.375,9.5,14880,AEM
1985-03-05,9.375,9.375,9.25,9.25,1800,AEM
1985-03-06,9.375,9.5,9.375,9.5,17100,AEM
1985-03-07,9.375,9.5,9.25,9.375,4900,AEM
1985-03-08,9.375,9.5,9.25,9.375,10350,AEM
1985-03-11,9.375,9.5,9.375,9.5,11990,AEM
1985-03-12,9.5,9.5,9.5,9.5,11000,AEM
1985-03-13,9.625,9.625,9.5,9.625,26700,AEM
1985-03-14,9.625,9.625,9.5,9.5,10190,AEM
1985-03-15,9.5,9.625,9.5,9.5,23300,AEM
1985-03-18,9.875,10.0,9.875,10.0,33720,AEM
1985-03-19,11.25,11.375,11.25,11.25,98885,AEM
1985-03-20,10.875,10.875,10.75,10.75,65710,AEM
1985-03-21,10.75,10.75,10.625,10.75,35940,AEM
1985-03-22,10.875,11.0,10.875,11.0,16276,AEM
1985-03-25,11.0,11.125,11.0,11.0,49110,AEM
1985-03-26,11.5,11.625,11.5,11.5,23760,AEM
1985-03-27,11.875,12.0,11.875,12.0,45815,AEM
1985-03-28,12.0,12.125,12.0,12.0,60120,AEM
1985-03-29,12.125,12.25,12.125,12.25,35963,AEM
1985-04-01,12.125,12.125,12.0,12.0,21461,AEM
1985-04-02,12.125,12.25,12.125,12.25,33927,AEM
1985-04-03,12.125,12.25,12.0,12.125,37103,AEM
1985-04-04,12.125,12.375,12.125,12.25,18450,AEM
1985-04-08,12.375,12.5,12.375,12.5,22500,AEM
1985-04-09,12.375,12.5,12.375,12.5,27517,AEM
1985-04-10,12.625,12.75,12.625,12.75,23020,AEM
1985-04-11,13.0,13.125,13.0,13.0,22454,AEM
1985-04-12,12.875,12.875,12.75,12.75,37665,AEM
1985-04-15,13.125,13.25,13.125,13.25,46780,AEM
1985-04-16,13.125,13.125,13.0,13.0,31000,AEM
