Date,Open,High,Low,Close,Volume,Ticker
1999-10-11,50.4375,50.5,50.125,50.4375,360000,AES-C
1999-10-12,50.3125,50.875,48.0,48.625,348100,AES-C
1999-10-13,48.75,49.0,48.0,48.625,464800,AES-C
1999-10-14,48.875,48.875,47.875,48.5,490600,AES-C
1999-10-15,47.75,48.875,47.25,47.875,172200,AES-C
1999-10-18,48.0,48.25,47.375,47.75,299800,AES-C
1999-10-19,48.0,48.75,47.75,48.25,187300,AES-C
1999-10-20,48.5,49.5,48.5,49.375,133500,AES-C
1999-10-21,49.0,49.625,48.5,49.625,146800,AES-C
1999-10-22,50.25,50.875,49.8125,50.0,81900,AES-C
1999-10-25,49.8125,50.0,49.5,49.8125,125800,AES-C
1999-10-26,49.875,50.4375,49.6875,49.9375,59800,AES-C
1999-10-27,49.625,50.375,49.625,50.25,169500,AES-C
1999-10-28,50.5,51.0,49.75,50.0,185600,AES-C
1999-10-29,50.25,50.75,50.25,50.4375,176900,AES-C
1999-11-01,51.0,51.0,50.0625,50.875,23600,AES-C
1999-11-02,50.875,51.0625,50.4375,50.9375,281600,AES-C
1999-11-03,51.0,51.5,50.5,50.5,27800,AES-C
1999-11-04,50.5,51.75,50.4375,50.4375,29200,AES-C
1999-11-05,51.0,51.875,51.0,51.5,150400,AES-C
1999-11-08,51.5,51.5,50.875,51.25,20700,AES-C
1999-11-09,51.5,51.5,50.375,50.9375,41000,AES-C
1999-11-10,51.0625,51.625,51.0,51.125,44100,AES-C
1999-11-11,51.4375,52.0,51.25,51.6875,66500,AES-C
1999-11-12,51.875,52.3125,51.25,52.3125,60900,AES-C
1999-11-15,52.3125,53.0,51.9375,53.0,148400,AES-C
1999-11-16,53.0,53.5,52.875,53.4375,146500,AES-C
1999-11-17,54.4375,54.875,53.1875,53.375,41400,AES-C
1999-11-18,53.5,54.25,53.375,53.75,199900,AES-C
1999-11-19,53.5,54.0,53.5,53.5,30400,AES-C
1999-11-22,54.0,54.5,53.25,53.4375,50200,AES-C
1999-11-23,52.875,53.0,52.375,52.5,6300,AES-C
1999-11-24,53.0,53.0,50.5,50.5,8600,AES-C
1999-11-26,50.5625,51.5,50.5625,51.5,1300,AES-C
1999-11-29,51.25,51.5,50.0,50.5,14200,AES-C
1999-11-30,51.0,52.25,51.0,51.6875,57100,AES-C
1999-12-01,51.625,52.875,51.25,52.4375,3800,AES-C
1999-12-02,52.0,52.0,51.0,51.5,3300,AES-C
1999-12-03,51.875,53.75,51.875,52.5,66400,AES-C
1999-12-06,53.0,53.0,51.375,52.5,35500,AES-C
1999-12-07,53.0,53.5,51.75,52.25,75200,AES-C
1999-12-08,52.75,54.5,52.75,53.75,7500,AES-C
1999-12-09,54.625,56.0,53.8125,54.75,52500,AES-C
1999-12-10,54.375,56.0,53.1875,53.375,135800,AES-C
1999-12-13,53.0,53.5,53.0,53.25,39300,AES-C
1999-12-14,53.5,53.5,53.0625,53.3125,4000,AES-C
1999-12-15,53.5,54.0,53.125,53.125,3400,AES-C
1999-12-16,53.75,53.75,53.0625,53.125,31100,AES-C
1999-12-17,54.0,54.75,53.9375,54.5,68200,AES-C
1999-12-20,55.0,57.0,55.0,56.875,26100,AES-C
1999-12-21,56.875,58.4375,56.875,58.4375,22400,AES-C
1999-12-22,57.4375,58.375,57.4375,57.5625,93700,AES-C
1999-12-23,56.6875,58.375,56.6875,57.5,89100,AES-C
1999-12-27,58.5,59.25,58.375,59.0625,63600,AES-C
1999-12-28,58.625,60.0,58.25,59.0,41200,AES-C
1999-12-29,58.875,59.375,58.5,59.25,70600,AES-C
1999-12-30,60.125,61.0,59.5,60.25,35000,AES-C
1999-12-31,60.0,62.0,60.0,61.625,4000,AES-C
2000-01-03,61.5,61.5,59.5,60.5,19900,AES-C
2000-01-04,59.5,59.5,58.0,58.5,106600,AES-C
2000-01-05,58.25,59.5,58.0,59.25,127300,AES-C
2000-01-06,59.875,59.875,58.3125,59.625,32300,AES-C
2000-01-07,59.0,60.625,59.0,60.625,64700,AES-C
2000-01-10,60.5,62.875,60.5,62.5625,66200,AES-C
2000-01-11,63.5,63.5,62.0,62.0625,6000,AES-C
2000-01-12,62.625,63.625,62.125,62.625,88600,AES-C
2000-01-13,62.6875,64.75,61.75,64.54688,173400,AES-C
2000-01-14,65.125,67.125,65.125,65.875,11100,AES-C
2000-01-18,65.875,66.0,63.875,63.875,122100,AES-C
2000-01-19,63.0,65.0,63.0,64.375,64700,AES-C
2000-01-20,65.0,65.0,63.875,63.875,35300,AES-C
2000-01-21,64.0,65.4375,64.0,65.4375,32100,AES-C
2000-01-24,65.0625,65.75,65.0,65.3125,133000,AES-C
2000-01-25,65.0625,65.75,63.25,63.375,146400,AES-C
2000-01-26,63.625,63.6875,60.0,60.9375,246000,AES-C
2000-01-27,61.8125,65.5,61.6875,62.5,43400,AES-C
2000-01-28,63.0,63.0,62.0,62.9375,3300,AES-C
2000-01-31,63.25,65.25,63.25,65.0625,3100,AES-C
2000-02-01,64.8125,66.0625,64.0,66.0625,29900,AES-C
2000-02-02,65.25,65.25,64.25,65.25,4300,AES-C
2000-02-03,65.5,67.0,65.5,66.0625,26200,AES-C
2000-02-04,66.875,67.25,61.9375,63.0,114600,AES-C
2000-02-07,63.75,64.8125,63.75,64.5,4300,AES-C
2000-02-08,64.75,68.75,64.75,68.375,94500,AES-C
2000-02-09,67.75,69.5,67.125,68.5,26500,AES-C
2000-02-10,68.0,68.5,67.6875,68.5,7200,AES-C
2000-02-11,67.5,67.5,66.0625,66.9375,5400,AES-C
2000-02-14,68.0,68.5,67.0,68.5,3600,AES-C
2000-02-15,68.875,71.0,68.8125,69.5,34700,AES-C
2000-02-16,69.0,70.875,68.75,70.0,1900,AES-C
2000-02-17,70.625,72.0,69.625,70.25,1600,AES-C
2000-02-18,70.5625,71.0,70.25,70.8125,22300,AES-C
2000-02-22,71.0,71.0,69.25,69.4375,2700,AES-C
2000-02-23,69.0,69.0,67.4375,67.4375,39500,AES-C
2000-02-24,68.5625,69.0,67.0,68.0,35700,AES-C
2000-02-25,68.0625,68.1875,67.6875,67.6875,165700,AES-C
2000-02-28,69.0,69.0,69.0,69.0,25600,AES-C
2000-02-29,68.125,69.625,67.75,67.875,228100,AES-C
2000-03-01,67.875,69.5,64.5,65.5,40600,AES-C
2000-03-02,66.0,70.0,66.0,70.0,8800,AES-C
2000-03-03,70.5,71.625,69.25,70.125,50200,AES-C
2000-03-06,69.125,69.125,61.0,66.0625,113900,AES-C
2000-03-07,66.0625,67.6875,64.0,65.0,105800,AES-C
2000-03-08,64.25,65.875,64.1875,64.5625,61000,AES-C
2000-03-09,63.625,65.25,62.75,62.75,4400,AES-C
2000-03-10,61.0,64.0,59.0,60.375,48400,AES-C
2000-03-13,61.25,63.0,60.375,61.5,39500,AES-C
2000-03-14,61.75,61.75,59.5,60.0,8100,AES-C
2000-03-15,60.5,62.0,60.0,62.0,3100,AES-C
2000-03-16,63.0,65.9375,60.5,65.9375,14800,AES-C
2000-03-17,66.1875,66.1875,61.875,64.0,28300,AES-C
2000-03-20,64.25,64.25,62.0,64.0,30800,AES-C
2000-03-21,62.125,62.125,62.0625,62.0625,2100,AES-C
2000-03-22,63.0,63.0,59.75,60.4375,341300,AES-C
2000-03-23,61.625,62.625,61.125,61.125,126700,AES-C
2000-03-24,61.0,62.375,61.0,62.375,46300,AES-C
2000-03-27,63.0,63.0,62.0,62.0,1700,AES-C
2000-03-28,61.25,61.25,61.0,61.0,30100,AES-C
2000-03-29,62.0,62.625,62.0,62.625,2300,AES-C
2000-03-30,62.1875,67.0,62.1875,67.0,48000,AES-C
2000-03-31,64.0,67.5,64.0,67.5,200,AES-C
2000-04-03,64.0,64.0,62.5,63.5,4200,AES-C
2000-04-04,63.25,63.25,60.0,60.0,2600,AES-C
2000-04-05,61.5,63.5,61.5,62.875,183700,AES-C
2000-04-06,63.875,64.0,62.875,64.0,74900,AES-C
2000-04-07,65.0,65.0,63.25,63.5,36900,AES-C
2000-04-10,63.0,66.0,63.0,66.0,56100,AES-C
2000-04-11,65.0,65.0,64.5,64.875,2900,AES-C
2000-04-12,62.5,65.5,62.0,62.8125,131400,AES-C
2000-04-13,62.75,63.5,61.75,63.5,78000,AES-C
2000-04-14,63.5,63.5,60.75,60.8125,66700,AES-C
2000-04-17,59.5,60.625,59.0,60.625,9500,AES-C
2000-04-18,65.6875,65.6875,61.75,62.8125,67100,AES-C
2000-04-19,63.0,65.0,63.0,64.6875,179400,AES-C
2000-04-20,65.6875,69.0,65.6875,68.8125,158500,AES-C
2000-04-24,68.9375,69.0,66.125,67.125,110100,AES-C
2000-04-25,67.25,68.0,65.875,67.0,3600,AES-C
2000-04-26,67.125,68.5,67.125,68.5,127500,AES-C
2000-04-27,67.5,67.5,66.6875,67.25,76100,AES-C
2000-04-28,68.0,71.3125,68.0,71.3125,132400,AES-C
2000-05-01,72.0,72.0,68.8125,70.5,165000,AES-C
2000-05-02,70.6875,70.6875,68.28125,68.5,14800,AES-C
2000-05-03,68.5,68.875,68.0,68.875,109600,AES-C
2000-05-04,68.3125,69.5,68.0,69.25,12000,AES-C
2000-05-05,69.625,70.5,68.75,68.75,26200,AES-C
2000-05-08,67.3125,67.3125,64.75,65.375,670400,AES-C
2000-05-09,64.6875,64.8125,63.4375,64.0,289800,AES-C
2000-05-10,63.6875,63.6875,61.125,62.9375,502200,AES-C
2000-05-11,60.375,62.9375,60.25,61.125,567500,AES-C
2000-05-12,61.1875,64.0,61.1875,63.5,906600,AES-C
2000-05-15,63.5,65.125,63.0,65.0625,52100,AES-C
2000-05-16,65.125,65.5,64.875,64.875,42000,AES-C
2000-05-17,64.875,65.9375,64.875,65.9375,28600,AES-C
2000-05-18,66.0,67.125,65.375,66.375,45000,AES-C
2000-05-19,66.0,66.5,65.875,66.0,105600,AES-C
2000-05-22,65.25,67.0,65.25,67.0,26600,AES-C
2000-05-23,66.75,67.8125,66.75,66.875,122000,AES-C
2000-05-24,67.0,67.4375,65.5,65.5,206500,AES-C
2000-05-25,66.0,67.1875,66.0,67.1875,52900,AES-C
2000-05-26,67.5,68.0,67.5,68.0,61300,AES-C
2000-05-30,68.5,68.5,68.0,68.0,600,AES-C
2000-05-31,68.625,69.5,68.25,69.5,166300,AES-C
2000-06-01,70.0,70.6875,69.0625,70.625,248400,AES-C
2000-06-02,70.8125,72.6875,70.75,71.625,176300,AES-C
2000-06-05,71.75,72.125,70.5625,70.5625,9300,AES-C
2000-06-06,70.5,71.0625,70.4375,71.0,21300,AES-C
2000-06-07,72.5,73.75,71.75,72.6875,338300,AES-C
2000-06-08,73.9375,74.625,73.625,74.0,231300,AES-C
2000-06-09,75.75,75.9375,75.375,75.375,176800,AES-C
2000-06-12,75.6875,75.75,74.0,75.375,179900,AES-C
2000-06-13,76.0,78.0,76.0,77.625,355400,AES-C
2000-06-14,77.625,77.625,70.1875,70.1875,74700,AES-C
2000-06-15,71.3125,72.6875,71.125,71.9375,117400,AES-C
2000-06-16,72.5,73.25,69.4375,73.25,2800,AES-C
2000-06-19,73.375,73.375,71.0625,72.3125,68900,AES-C
2000-06-20,72.5625,73.75,72.0,72.0625,76800,AES-C
2000-06-21,71.625,72.125,70.8125,71.0,106600,AES-C
2000-06-22,70.79688,71.0,68.4375,68.5,296900,AES-C
2000-06-23,68.75,68.75,67.8125,68.6875,50900,AES-C
2000-06-26,69.6875,74.5,66.875,73.125,188900,AES-C
2000-06-27,72.875,73.125,71.375,72.5,368500,AES-C
2000-06-28,72.4375,73.5,72.0,73.0,62800,AES-C
2000-06-29,72.5,72.5,71.875,71.9375,51200,AES-C
2000-06-30,72.25,72.25,72.25,72.25,600,AES-C
2000-07-05,72.5,75.0,72.5,74.0,310000,AES-C
2000-07-06,74.0,74.4375,73.51563,73.51563,90000,AES-C
2000-07-07,75.0625,76.0,74.0,75.75,180500,AES-C
2000-07-10,76.875,78.25,76.875,77.75,196900,AES-C
2000-07-11,78.375,78.5,77.0625,78.5,230500,AES-C
2000-07-12,78.5,79.875,78.1875,78.90625,640100,AES-C
2000-07-13,78.75,82.9375,77.125,82.6875,296200,AES-C
2000-07-14,82.375,82.375,78.25,79.9375,121100,AES-C
2000-07-17,80.3125,85.0,80.3125,85.0,80000,AES-C
2000-07-18,82.375,83.0,81.25,81.25,2700,AES-C
2000-07-19,80.875,81.25,80.0,80.0,161900,AES-C
2000-07-20,80.5,83.0,80.5,82.375,1200,AES-C
2000-07-21,82.75,82.75,82.04688,82.04688,127100,AES-C
2000-07-24,81.0,81.5,81.0,81.5,4500,AES-C
2000-07-25,81.5,82.75,81.5,82.75,25800,AES-C
2000-07-26,82.0625,82.625,81.5,81.5,11300,AES-C
2000-07-27,82.3125,82.3125,82.1875,82.1875,1501000,AES-C
2000-07-28,82.0,83.375,80.0,80.0,217400,AES-C
2000-07-31,81.375,83.8125,81.375,83.125,62500,AES-C
2000-08-01,84.0,86.0625,84.0,86.0625,47900,AES-C
2000-08-02,85.9375,86.0,83.125,84.0,55000,AES-C
2000-08-03,85.25,85.25,82.0,82.125,27900,AES-C
2000-08-04,82.375,82.5,81.25,82.5,53100,AES-C
2000-08-07,82.5,85.375,82.5,85.375,38800,AES-C
2000-08-08,87.5,89.0,87.5,89.0,2200,AES-C
2000-08-09,89.75,89.8125,86.0,88.0,71000,AES-C
2000-08-10,86.5,86.5,83.0,83.0,71000,AES-C
2000-08-11,83.875,85.0,83.25,85.0,5700,AES-C
2000-08-14,86.0,92.0,86.0,90.125,38300,AES-C
2000-08-15,89.0,89.0,86.0625,88.75,29700,AES-C
2000-08-16,87.9375,88.0625,87.1875,87.5,76800,AES-C
2000-08-17,89.0625,91.5,87.0625,89.0,5900,AES-C
2000-08-18,89.4375,93.0,89.4375,92.0,1400,AES-C
2000-08-21,90.5,90.5,86.0,88.375,32700,AES-C
2000-08-22,87.8125,89.9375,86.1875,88.5,94300,AES-C
2000-08-23,89.4375,91.375,89.4375,91.25,108900,AES-C
2000-08-24,89.5,89.5,88.125,89.3125,24400,AES-C
2000-08-25,90.125,90.125,86.1875,89.75,17100,AES-C
2000-08-28,89.9375,89.9375,89.9375,89.9375,1200,AES-C
2000-08-29,90.1875,90.1875,88.0,90.0,7100,AES-C
2000-08-30,92.625,95.0,92.125,95.0,124700,AES-C
2000-08-31,94.0625,97.0625,94.0,96.0,51800,AES-C
2000-09-01,98.5625,101.0,98.5625,101.0,10300,AES-C
2000-09-05,101.875,101.875,96.75,96.75,43400,AES-C
2000-09-06,95.0,95.0,93.6875,94.57813,112500,AES-C
2000-09-07,93.875,94.625,93.875,94.0,70800,AES-C
2000-09-08,93.8125,93.8125,92.5,92.5,500,AES-C
2000-09-11,94.0,99.0,94.0,98.4375,52300,AES-C
2000-09-12,98.0,99.9375,98.0,98.9375,600,AES-C
2000-09-13,100.0,101.8125,97.0625,99.125,45400,AES-C
2000-09-14,100.375,100.4375,99.0,99.5,70500,AES-C
2000-09-15,100.125,105.0,100.125,103.0,172500,AES-C
2000-09-18,101.5,101.5625,99.5,99.5,1100,AES-C
2000-09-19,97.8125,98.0,96.5,98.0,25400,AES-C
2000-09-20,98.0,98.0,96.0,96.25,1500,AES-C
2000-09-21,95.25,96.6875,94.5,94.5,2000,AES-C
2000-09-22,94.25,98.4375,94.25,98.4375,41100,AES-C
2000-09-25,97.5,100.125,95.5,100.125,28300,AES-C
2000-09-26,99.5,102.0,99.5,102.0,25900,AES-C
2000-09-27,101.375,105.0,101.375,105.0,3300,AES-C
2000-09-28,103.5,103.5,101.9375,102.875,36100,AES-C
2000-09-29,102.875,103.875,102.4375,103.5,32800,AES-C
2000-10-02,103.3125,106.4375,100.5,105.0,63100,AES-C
2000-10-03,106.125,110.0,104.875,106.6875,123800,AES-C
2000-10-04,107.5,108.0625,102.0,102.0,170100,AES-C
2000-10-05,103.5,104.25,100.0,100.0625,102500,AES-C
2000-10-06,101.375,101.4375,98.75,98.75,139800,AES-C
2000-10-09,99.0,102.5,99.0,102.5,31300,AES-C
2000-10-10,101.375,105.875,101.375,104.3125,189300,AES-C
2000-10-11,104.0625,105.0,99.625,99.625,451800,AES-C
2000-10-12,98.0,98.0,93.75,93.9375,127300,AES-C
2000-10-13,91.4375,91.6875,90.0,90.0,72300,AES-C
2000-10-16,91.5,93.0,91.5,93.0,200,AES-C
2000-10-17,92.75,92.75,89.875,91.375,17600,AES-C
2000-10-18,89.5,89.5,81.6875,83.1875,11700,AES-C
2000-10-19,83.8125,86.375,83.8125,86.375,50600,AES-C
2000-10-20,87.375,88.5,86.625,88.5,243300,AES-C
2000-10-23,87.25,87.25,86.5,86.5,300,AES-C
2000-10-24,87.1875,88.5,85.1875,85.4375,118700,AES-C
2000-10-25,84.0,84.0,80.0,80.0,7400,AES-C
2000-10-26,79.875,80.3125,77.0,80.3125,7400,AES-C
2000-10-27,80.9375,85.375,80.9375,84.75,19400,AES-C
