Date,Open,High,Low,Close,Volume,Ticker
2000-10-06,7.0,7.5,6.875,7.375,17362100,AGCXA-200202
2000-10-09,7.125,7.3125,7.0,7.21875,8351540,AGCXA-200202
2000-10-10,7.140619999999999,7.1875,6.9375,7.0,6880830,AGCXA-200202
2000-10-11,7.0,7.03125,6.96875,7.03125,4158880,AGCXA-200202
2000-10-12,7.140619999999999,7.15625,6.875,7.0625,1701490,AGCXA-200202
2000-10-13,7.0,7.0625,7.0,7.0,2141840,AGCXA-200202
2000-10-16,7.0,7.0625,7.0,7.0,647451,AGCXA-200202
2000-10-17,7.0,7.1875,7.0,7.0,3637940,AGCXA-200202
2000-10-18,7.0,7.03125,6.875,7.0,3637130,AGCXA-200202
2000-10-19,7.03125,7.03125,7.0,7.0,1340680,AGCXA-200202
2000-10-20,7.0,7.03125,7.0,7.0,2369420,AGCXA-200202
2000-10-23,7.015619999999999,7.0625,6.5,6.5625,1628450,AGCXA-200202
2000-10-24,6.5625,6.75,6.25,6.375,1321930,AGCXA-200202
2000-10-25,6.375,6.5,6.0,6.1875,2000040,AGCXA-200202
2000-10-26,6.375,6.75,6.25,6.625,836488,AGCXA-200202
2000-10-27,6.84375,7.0,6.6875,6.875,413465,AGCXA-200202
2000-10-30,6.875,7.25,6.8125,7.1875,683278,AGCXA-200202
2000-10-31,7.359380000000001,7.375,7.0,7.0,810114,AGCXA-200202
2000-11-01,7.1875,7.1875,7.0,7.125,650206,AGCXA-200202
2000-11-02,7.21875,7.375,7.125,7.25,703620,AGCXA-200202
2000-11-03,7.3125,7.3125,6.9375,7.0,432199,AGCXA-200202
2000-11-06,7.0625,7.125,6.75,7.0,845798,AGCXA-200202
2000-11-07,7.09375,7.125,6.875,7.0,280988,AGCXA-200202
2000-11-08,6.9375,7.0,6.1875,6.5,319394,AGCXA-200202
2000-11-09,6.875,7.125,6.25,6.4375,419120,AGCXA-200202
2000-11-10,6.5,6.625,6.25,6.4375,683795,AGCXA-200202
2000-11-13,6.4375,6.5,5.125,5.4375,950481,AGCXA-200202
2000-11-14,5.46875,5.75,5.375,5.375,302576,AGCXA-200202
2000-11-15,5.75,5.75,5.375,5.40625,318252,AGCXA-200202
2000-11-16,5.3125,5.4375,5.25,5.25,255275,AGCXA-200202
2000-11-17,5.40625,5.5,5.0625,5.125,406396,AGCXA-200202
2000-11-20,5.1875,5.1875,3.875,4.5625,888207,AGCXA-200202
2000-11-21,4.59375,4.625,4.0625,4.4375,602805,AGCXA-200202
2000-11-22,4.3125,4.6875,4.25,4.5,283687,AGCXA-200202
2000-11-24,4.75,5.0625,4.53125,5.0,145308,AGCXA-200202
2000-11-27,5.0625,5.125,4.5625,4.6875,279266,AGCXA-200202
2000-11-28,4.75,4.75,4.25,4.5625,309132,AGCXA-200202
2000-11-29,4.25,4.75,4.125,4.5,335652,AGCXA-200202
2000-11-30,4.28125,4.625,4.28125,4.5,410369,AGCXA-200202
2000-12-01,4.5625,4.875,4.4375,4.5,404955,AGCXA-200202
2000-12-04,4.6875,4.75,4.25,4.3125,152330,AGCXA-200202
2000-12-05,4.78125,4.875,4.5,4.578119999999999,426648,AGCXA-200202
2000-12-06,5.0,5.125,4.625,5.0625,433562,AGCXA-200202
2000-12-07,5.1875,5.375,5.0,5.25,395641,AGCXA-200202
2000-12-08,5.359380000000001,5.875,5.25,5.8125,500916,AGCXA-200202
2000-12-11,5.75,6.5625,5.75,6.375,1455640,AGCXA-200202
2000-12-12,6.5,6.5625,6.3125,6.4375,727685,AGCXA-200202
2000-12-13,6.5,6.5625,6.25,6.3125,435422,AGCXA-200202
2000-12-14,6.4375,6.4375,5.75,6.0,218360,AGCXA-200202
2000-12-15,5.8125,6.0,5.5625,6.0,267368,AGCXA-200202
2000-12-18,6.0,6.0,5.625,5.8125,45140,AGCXA-200202
2000-12-19,5.9375,5.9375,5.25,5.25,102215,AGCXA-200202
2000-12-20,5.375,5.5,4.25,4.625,420333,AGCXA-200202
2000-12-21,4.71875,4.875,4.3125,4.421880000000001,228726,AGCXA-200202
2000-12-22,4.5625,4.8125,4.25,4.75,272162,AGCXA-200202
2000-12-26,5.25,5.625,5.0,5.375,124566,AGCXA-200202
2000-12-27,5.625,6.625,5.375,6.3125,486323,AGCXA-200202
2000-12-28,6.1875,6.5,6.0,6.3125,102260,AGCXA-200202
2000-12-29,6.3125,6.625,5.875,6.5625,243188,AGCXA-200202
2001-01-02,6.625,6.75,6.25,6.625,524500,AGCXA-200202
2001-01-03,6.625,6.9375,6.375,6.8125,454970,AGCXA-200202
2001-01-04,6.6875,7.5625,6.625,7.25,1250520,AGCXA-200202
2001-01-05,7.375,7.40625,7.15625,7.3125,584697,AGCXA-200202
2001-01-08,7.375,7.4375,6.875,7.0,805608,AGCXA-200202
2001-01-09,7.0625,7.1875,6.9375,6.9375,1089800,AGCXA-200202
2001-01-10,7.125,7.125,6.9375,7.0625,470085,AGCXA-200202
2001-01-11,7.125,7.125,6.9375,7.0,663153,AGCXA-200202
2001-01-12,7.0,7.1875,6.9375,7.125,651019,AGCXA-200202
2001-01-16,7.25,7.5,7.03125,7.0625,408491,AGCXA-200202
2001-01-17,7.1875,8.5,7.1875,8.0,1660720,AGCXA-200202
2001-01-18,8.375,9.125,8.0625,8.875,1185590,AGCXA-200202
2001-01-19,9.125,9.8125,9.0,9.5,2178000,AGCXA-200202
2001-01-22,9.5625,9.8125,9.375,9.6875,2439300,AGCXA-200202
2001-01-23,9.6875,9.75,9.125,9.5625,531050,AGCXA-200202
2001-01-24,9.65625,9.6875,8.75,8.875,260511,AGCXA-200202
2001-01-25,8.8125,9.1875,7.9375,9.0,608222,AGCXA-200202
2001-01-26,9.3125,9.375,8.125,8.25,1177570,AGCXA-200202
2001-01-29,8.53125,10.0,8.46875,9.9375,1600940,AGCXA-200202
2001-01-30,10.0,10.125,9.375,10.125,1876540,AGCXA-200202
2001-01-31,10.125,11.6875,10.0312,11.1875,3351710,AGCXA-200202
2001-02-01,11.3125,11.3125,10.8125,11.0,1803150,AGCXA-200202
2001-02-02,11.0,11.0625,9.75,9.8125,1094820,AGCXA-200202
2001-02-05,10.0,10.0625,9.125,9.40625,540808,AGCXA-200202
2001-02-06,9.625,10.0625,9.46875,9.9375,602376,AGCXA-200202
2001-02-07,9.9375,10.0312,9.5,9.5,286697,AGCXA-200202
2001-02-08,9.78125,9.9375,9.15625,9.25,504868,AGCXA-200202
2001-02-09,9.1875,9.375,7.8125,8.75,1254380,AGCXA-200202
2001-02-12,9.1875,10.0,8.8125,9.96875,1836250,AGCXA-200202
2001-02-13,10.0,10.1875,9.25,9.6875,620314,AGCXA-200202
2001-02-14,9.5625,9.5625,8.8125,9.0,215801,AGCXA-200202
2001-02-15,9.125,9.1875,8.9375,9.03125,515688,AGCXA-200202
2001-02-16,8.90625,8.9375,8.4375,8.5,261717,AGCXA-200202
2001-02-20,8.375,8.4375,7.5,7.625,436825,AGCXA-200202
2001-02-21,7.34375,8.0625,6.9375,7.0,928080,AGCXA-200202
2001-02-22,7.375,7.625,6.875,7.5,552894,AGCXA-200202
2001-02-23,7.5,7.5625,7.0,7.25,201498,AGCXA-200202
2001-02-26,7.421880000000001,7.5,7.25,7.375,169750,AGCXA-200202
2001-02-27,7.5,7.5,7.0,7.125,220119,AGCXA-200202
2001-02-28,7.4375,7.4375,6.75,6.8125,264868,AGCXA-200202
2001-03-01,6.8125,6.875,5.8125,6.4375,1068940,AGCXA-200202
2001-03-02,6.140619999999999,6.875,6.0,6.75,266280,AGCXA-200202
2001-03-05,7.0625,7.125,6.875,6.96875,267923,AGCXA-200202
2001-03-06,7.09375,8.4375,7.09375,8.0625,359884,AGCXA-200202
2001-03-07,8.125,8.125,7.8125,8.0,398502,AGCXA-200202
2001-03-08,8.0,8.0625,7.75,7.875,1148490,AGCXA-200202
2001-03-09,7.75,8.0,7.5,8.0,858802,AGCXA-200202
2001-03-12,7.5,7.6875,6.0,6.125,376986,AGCXA-200202
2001-03-13,6.421880000000001,6.625,6.125,6.125,512880,AGCXA-200202
2001-03-14,6.0,6.125,5.0,5.3125,2033740,AGCXA-200202
2001-03-15,5.875,6.125,5.3125,5.5625,419610,AGCXA-200202
2001-03-16,5.578119999999999,6.0625,5.25,5.5625,1343120,AGCXA-200202
2001-03-19,5.71875,5.75,5.3125,5.6875,289636,AGCXA-200202
2001-03-20,5.734380000000001,5.875,5.0,5.125,402936,AGCXA-200202
2001-03-21,5.125,5.25,4.78125,5.0625,1827760,AGCXA-200202
2001-03-22,5.0625,5.25,4.625,4.875,843176,AGCXA-200202
2001-03-23,5.125,5.28125,4.75,4.75,327000,AGCXA-200202
2001-03-26,5.125,5.25,4.875,5.125,764403,AGCXA-200202
2001-03-27,5.09375,5.8125,5.03125,5.5,541839,AGCXA-200202
2001-03-28,5.75,5.75,5.375,5.53125,411446,AGCXA-200202
2001-03-29,5.59375,5.8125,5.5,5.625,219966,AGCXA-200202
2001-03-30,5.75,5.75,5.0,5.0625,1023830,AGCXA-200202
2001-04-02,5.0625,5.09375,4.8125,4.90625,702548,AGCXA-200202
2001-04-03,4.953119999999999,5.0,4.0625,4.3125,2046100,AGCXA-200202
2001-04-04,4.4375,4.5,3.09375,3.625,1475230,AGCXA-200202
2001-04-05,3.5625,4.375,3.5,4.25,1172330,AGCXA-200202
2001-04-06,4.1875,4.25,3.53125,3.75,1476570,AGCXA-200202
2001-04-09,4.0,4.0,3.36,3.5,300601,AGCXA-200202
2001-04-10,3.8,4.61,3.79,4.1,1192840,AGCXA-200202
2001-04-11,4.6,4.75,4.3,4.5,1469560,AGCXA-200202
2001-04-12,4.58,4.66,4.35,4.55,494275,AGCXA-200202
2001-04-16,4.51,4.55,4.35,4.43,134250,AGCXA-200202
2001-04-17,4.365,4.57,4.2,4.49,242233,AGCXA-200202
2001-04-18,4.85,5.73,4.76,5.47,1656150,AGCXA-200202
2001-04-19,5.73,6.21,5.55,6.07,615820,AGCXA-200202
2001-04-20,6.18,6.45,6.1,6.33,602114,AGCXA-200202
2001-04-23,6.32,6.32,5.95,6.05,296210,AGCXA-200202
2001-04-24,6.125,6.35,5.75,6.11,209725,AGCXA-200202
2001-04-25,6.18,6.36,6.09,6.15,535384,AGCXA-200202
