Date,Open,High,Low,Close,Volume,Ticker
2007-03-15,0.01,0.5,0.01,0.5,5000,AGDI-200810
2007-06-27,0.5,0.55,0.5,0.55,12800,AGDI-200810
2008-02-11,0.6,0.6,0.6,0.6,1500,AGDI-200810
2008-02-27,0.25,0.25,0.25,0.25,5000,AGDI-200810
2008-03-03,0.15,0.15,0.15,0.15,30000,AGDI-200810
2008-03-04,0.12,0.12,0.12,0.12,20000,AGDI-200810
2008-03-05,0.12,0.12,0.11,0.11,20000,AGDI-200810
2008-03-06,0.1,0.1,0.05,0.05,15000,AGDI-200810
2008-03-12,0.1,0.1,0.1,0.1,65300,AGDI-200810
2008-03-14,0.18,0.55,0.15,0.15,55300,AGDI-200810
2008-03-18,0.13,0.13,0.1,0.1,30000,AGDI-200810
2008-03-19,0.1,0.1,0.08,0.1,42800,AGDI-200810
2008-03-25,0.13,0.13,0.08,0.08,38500,AGDI-200810
2008-03-26,0.1,0.1,0.08,0.1,35000,AGDI-200810
2008-03-28,0.1,0.1,0.1,0.1,15000,AGDI-200810
2008-03-31,0.1,0.1,0.1,0.1,5100,AGDI-200810
2008-04-01,0.1,0.1,0.09,0.09,10000,AGDI-200810
2008-04-02,0.09,0.09,0.09,0.09,2000,AGDI-200810
2008-04-09,0.15,0.15,0.1,0.1,20000,AGDI-200810
2008-04-15,0.07,0.07,0.07,0.07,13300,AGDI-200810
2008-04-25,0.08,0.08,0.08,0.08,3000,AGDI-200810
2008-05-01,0.1,0.1,0.1,0.1,59000,AGDI-200810
2008-05-05,0.15,0.15,0.13,0.15,15000,AGDI-200810
2008-05-08,0.15,0.15,0.14,0.15,43800,AGDI-200810
2008-05-09,0.15,0.15,0.14,0.14,17800,AGDI-200810
2008-05-13,0.14,0.2,0.14,0.2,145000,AGDI-200810
2008-05-14,0.2,0.2,0.2,0.2,65000,AGDI-200810
2008-05-16,0.2,0.21,0.2,0.21,18000,AGDI-200810
2008-05-20,0.21,0.26,0.21,0.25,101000,AGDI-200810
2008-05-21,0.27,0.27,0.25,0.25,85000,AGDI-200810
2008-05-22,0.26,0.26,0.21,0.21,74600,AGDI-200810
2008-05-23,0.21,0.21,0.17,0.17,81500,AGDI-200810
2008-05-27,0.17,0.17,0.15,0.17,65000,AGDI-200810
2008-05-28,0.15,0.15,0.15,0.15,12300,AGDI-200810
2008-05-30,0.15,0.15,0.15,0.15,10100,AGDI-200810
2008-06-04,0.15,0.15,0.15,0.15,20000,AGDI-200810
2008-06-05,0.15,0.15,0.15,0.15,75000,AGDI-200810
2008-06-06,0.2,0.29,0.19,0.29,50000,AGDI-200810
2008-06-09,0.3,0.3,0.29,0.29,2100,AGDI-200810
2008-06-11,0.21,0.21,0.21,0.21,9200,AGDI-200810
2008-06-12,0.21,0.21,0.21,0.21,10000,AGDI-200810
2008-06-13,0.21,0.21,0.21,0.21,5500,AGDI-200810
2008-06-16,0.21,0.21,0.21,0.21,40000,AGDI-200810
2008-06-17,0.21,0.21,0.21,0.21,500,AGDI-200810
2008-06-19,0.21,0.21,0.19,0.19,230300,AGDI-200810
2008-06-20,0.2,0.25,0.2,0.24,7500,AGDI-200810
2008-06-23,0.25,0.25,0.22,0.25,95600,AGDI-200810
2008-06-24,0.24,0.24,0.21,0.24,26200,AGDI-200810
2008-06-25,0.21,0.25,0.21,0.21,49000,AGDI-200810
2008-06-26,0.25,0.27,0.25,0.26,162000,AGDI-200810
2008-06-27,0.3,0.3,0.27,0.27,241000,AGDI-200810
2008-06-30,0.29,0.29,0.17,0.22,750100,AGDI-200810
2008-07-01,0.25,0.25,0.19,0.21,175700,AGDI-200810
2008-07-02,0.21,0.21,0.12,0.13,592000,AGDI-200810
2008-07-03,0.12,0.15,0.12,0.14,54900,AGDI-200810
2008-07-07,0.15,0.15,0.07,0.08,824200,AGDI-200810
2008-07-08,0.07,0.08,0.07,0.07,1004100,AGDI-200810
2008-07-09,0.07,0.07,0.06,0.06,86400,AGDI-200810
2008-07-10,0.07,0.07,0.06,0.07,137000,AGDI-200810
2008-07-11,0.07,0.07,0.06,0.06,107000,AGDI-200810
2008-07-14,0.07,0.07,0.04,0.04,491700,AGDI-200810
2008-07-15,0.07,0.07,0.05,0.05,427500,AGDI-200810
2008-07-16,0.05,0.05,0.04,0.04,226700,AGDI-200810
2008-07-17,0.04,0.07,0.04,0.05,131800,AGDI-200810
2008-07-18,0.05,0.05,0.05,0.05,14000,AGDI-200810
2008-07-21,0.05,0.07,0.05,0.07,43300,AGDI-200810
2008-07-22,0.07,0.07,0.06,0.06,86000,AGDI-200810
2008-07-23,0.06,0.07,0.05,0.06,246100,AGDI-200810
2008-07-24,0.07,0.07,0.06,0.06,49000,AGDI-200810
2008-07-25,0.06,0.07,0.06,0.07,60000,AGDI-200810
2008-07-28,0.06,0.1,0.06,0.1,646100,AGDI-200810
2008-07-29,0.11,0.11,0.08,0.08,74500,AGDI-200810
2008-07-30,0.08,0.08,0.08,0.08,28700,AGDI-200810
2008-07-31,0.08,0.13,0.08,0.1,45400,AGDI-200810
2008-08-01,0.09,0.1,0.09,0.09,12100,AGDI-200810
2008-08-04,0.09,0.09,0.09,0.09,76400,AGDI-200810
2008-08-05,0.09,0.09,0.09,0.09,38600,AGDI-200810
2008-08-06,0.09,0.09,0.08,0.08,35400,AGDI-200810
2008-08-07,0.08,0.08,0.07,0.07,25000,AGDI-200810
2008-08-08,0.07,0.07,0.05,0.05,331500,AGDI-200810
2008-08-11,0.06,0.06,0.04,0.04,25000,AGDI-200810
2008-08-12,0.04,0.04,0.03,0.03,339500,AGDI-200810
2008-08-13,0.05,0.05,0.04,0.04,82500,AGDI-200810
2008-08-14,0.05,0.05,0.03,0.04,12000,AGDI-200810
2008-08-15,0.04,0.04,0.04,0.04,30000,AGDI-200810
2008-08-18,0.04,0.05,0.04,0.05,71000,AGDI-200810
2008-08-19,0.04,0.04,0.02,0.02,395000,AGDI-200810
2008-08-20,0.02,0.03,0.02,0.02,248800,AGDI-200810
2008-08-21,0.02,0.04,0.02,0.04,209000,AGDI-200810
2008-08-22,0.04,0.04,0.02,0.03,42500,AGDI-200810
2008-08-25,0.03,0.03,0.03,0.03,63600,AGDI-200810
2008-08-26,0.03,0.03,0.03,0.03,38000,AGDI-200810
2008-08-27,0.03,0.03,0.03,0.03,16200,AGDI-200810
2008-08-28,0.03,0.03,0.03,0.03,54700,AGDI-200810
2008-09-02,0.03,0.03,0.03,0.03,88400,AGDI-200810
2008-09-03,0.03,0.04,0.03,0.03,247500,AGDI-200810
2008-09-04,0.03,0.03,0.03,0.03,39000,AGDI-200810
2008-09-05,0.02,0.02,0.02,0.02,99300,AGDI-200810
2008-09-08,0.02,0.02,0.02,0.02,5000,AGDI-200810
2008-09-10,0.02,0.02,0.02,0.02,13500,AGDI-200810
2008-09-12,0.02,0.03,0.02,0.03,46700,AGDI-200810
2008-09-16,0.02,0.02,0.02,0.02,10000,AGDI-200810
2008-09-17,0.02,0.02,0.02,0.02,5000,AGDI-200810
2008-09-19,0.02,0.02,0.02,0.02,1500,AGDI-200810
2008-09-24,0.02,0.02,0.02,0.02,1000,AGDI-200810
2008-09-25,0.02,0.02,0.02,0.02,10000,AGDI-200810
2008-09-26,0.03,0.03,0.02,0.02,39900,AGDI-200810
2008-09-30,0.02,0.02,0.02,0.02,11300,AGDI-200810
2008-10-01,0.02,0.02,0.02,0.02,500,AGDI-200810
2008-10-02,0.02,0.03,0.02,0.03,12100,AGDI-200810
2008-10-03,0.03,0.03,0.03,0.03,5000,AGDI-200810
2008-10-06,0.03,0.03,0.02,0.02,36300,AGDI-200810
2008-10-07,0.03,0.03,0.02,0.02,11000,AGDI-200810
2008-10-09,0.02,0.02,0.02,0.02,60000,AGDI-200810
2008-10-10,0.02,0.02,0.01,0.01,300500,AGDI-200810
2008-10-13,0.01,0.01,0.01,0.01,283300,AGDI-200810
2008-10-20,0.01,0.01,0.01,0.01,125000,AGDI-200810
2008-10-21,0.008,0.008,0.0013,0.003,1075000,AGDI-200810
