Date,Open,High,Low,Close,Volume,Ticker
2010-04-01,20.5,21.9,20.3,21.9,28413,AGO-B
2010-04-05,21.69,21.8999,21.0501,21.64,19245,AGO-B
2010-04-06,21.69,21.94,21.085,21.4,25245,AGO-B
2010-04-07,21.65,22.2,21.5,22.15,13909,AGO-B
2010-04-08,22.5,22.5,22.26,22.26,9210,AGO-B
2010-04-09,22.2,22.45,22.18,22.25,4350,AGO-B
2010-04-12,22.3999,22.4,22.26,22.39,13562,AGO-B
2010-04-13,22.4,22.4,22.3,22.4,8254,AGO-B
2010-04-14,22.4,22.5,22.27,22.5,14900,AGO-B
2010-04-15,22.4,22.5,22.38,22.5,26600,AGO-B
2010-04-16,22.9,22.9,22.0,22.2,21000,AGO-B
2010-04-19,22.1,22.1,21.68,21.98,7300,AGO-B
2010-04-20,21.7,22.16,21.5,21.92,22800,AGO-B
2010-04-21,22.0,22.21,21.56,21.83,14500,AGO-B
2010-04-22,21.79,22.0,21.53,21.96,16800,AGO-B
2010-04-23,22.0,22.5,21.99,22.49,20300,AGO-B
2010-04-26,22.5,22.63,22.09,22.24,12500,AGO-B
2010-04-27,22.06,22.48,22.06,22.48,12200,AGO-B
2010-04-28,22.49,22.49,22.3,22.4,7200,AGO-B
2010-04-29,22.3,22.91,22.23,22.4,11400,AGO-B
2010-04-30,22.4,22.75,22.25,22.59,7800,AGO-B
2010-05-03,22.69,22.69,22.41,22.55,7400,AGO-B
2010-05-04,22.5,22.58,22.13,22.36,8900,AGO-B
2010-05-05,22.04,22.31,22.0,22.31,3100,AGO-B
2010-05-06,22.07,22.34,20.97,21.3,12600,AGO-B
2010-05-07,20.25,21.0,20.1,20.5,13300,AGO-B
2010-05-10,22.0,22.24,21.17,22.12,17400,AGO-B
2010-05-11,21.66,22.39,21.25,22.11,7500,AGO-B
2010-05-12,22.0,22.4,21.53,21.65,13700,AGO-B
2010-05-13,21.72,22.02,21.69,22.0,4900,AGO-B
2010-05-14,21.75,21.89,21.52,21.52,3500,AGO-B
2010-05-17,21.5,21.95,21.25,21.95,7100,AGO-B
2010-05-18,21.68,21.75,21.57,21.65,7500,AGO-B
2010-05-19,21.51,21.61,21.51,21.61,4500,AGO-B
2010-05-20,21.6,21.6,20.11,20.45,14700,AGO-B
2010-05-21,20.45,22.0,20.27,20.99,7300,AGO-B
2010-05-24,20.55,21.5,20.55,21.5,7500,AGO-B
2010-05-25,21.37,21.76,20.71,21.75,6800,AGO-B
2010-05-26,21.3,21.7,20.64,20.64,31500,AGO-B
2010-05-27,21.02,21.36,21.02,21.27,17900,AGO-B
2010-05-28,21.49,21.49,19.72,20.9,13100,AGO-B
2010-06-01,20.58,21.28,20.58,20.72,10200,AGO-B
2010-06-02,21.05,21.05,20.56,20.99,14200,AGO-B
2010-06-03,21.0,21.17,21.0,21.15,6500,AGO-B
2010-06-04,20.97,21.0,20.5,20.5,3800,AGO-B
2010-06-07,20.7,20.7,20.45,20.45,2100,AGO-B
2010-06-08,20.69,20.69,19.68,19.7,6700,AGO-B
2010-06-09,19.96,20.0,19.94,19.95,4900,AGO-B
2010-06-10,20.0,20.0,19.73,19.99,7100,AGO-B
2010-06-11,19.76,19.98,19.5,19.65,11200,AGO-B
2010-06-14,19.65,19.65,19.55,19.65,2300,AGO-B
2010-06-15,19.55,19.81,19.5,19.65,9600,AGO-B
2010-06-16,19.75,19.75,19.51,19.65,6100,AGO-B
2010-06-17,19.64,19.74,19.6,19.61,8000,AGO-B
2010-06-18,19.57,19.75,19.57,19.75,19100,AGO-B
2010-06-21,19.75,19.8,19.6,19.8,9200,AGO-B
2010-06-22,19.96,19.99,19.75,19.99,4500,AGO-B
2010-06-23,19.99,20.33,19.86,20.21,25800,AGO-B
2010-06-24,20.2,20.25,19.9,20.04,22900,AGO-B
2010-06-25,20.0,20.0,19.85,20.0,10600,AGO-B
2010-06-28,20.0,20.25,20.0,20.25,14200,AGO-B
2010-06-29,20.0,20.05,19.94,20.0,1800,AGO-B
2010-06-30,20.35,20.35,19.75,19.75,4500,AGO-B
2010-07-01,19.79,19.9,19.5,19.79,4100,AGO-B
2010-07-02,19.53,19.8,19.53,19.8,2000,AGO-B
2010-07-06,19.52,19.82,19.52,19.7,900,AGO-B
2010-07-07,19.55,19.95,19.54,19.7,12000,AGO-B
2010-07-08,19.89,20.1,19.75,20.1,6800,AGO-B
2010-07-09,20.25,20.35,20.0,20.35,12800,AGO-B
2010-07-12,20.39,20.42,20.11,20.29,7700,AGO-B
2010-07-13,20.29,20.39,20.16,20.36,9400,AGO-B
2010-07-14,20.35,20.6,20.35,20.6,9500,AGO-B
2010-07-15,20.6,20.9,20.4,20.9,9800,AGO-B
2010-07-16,20.72,20.98,20.37,20.92,12600,AGO-B
2010-07-19,20.94,20.99,20.7,20.81,10400,AGO-B
2010-07-20,20.85,22.0,20.77,21.85,30200,AGO-B
2010-07-21,21.84,22.0,21.49,22.0,35000,AGO-B
2010-07-22,21.95,22.29,21.87,21.95,16100,AGO-B
2010-07-23,21.7,21.94,21.67,21.67,7100,AGO-B
2010-07-26,21.77,22.0,21.6,21.9,5500,AGO-B
2010-07-27,21.85,22.2,21.77,22.11,8000,AGO-B
2010-07-28,22.29,22.48,22.29,22.3,12300,AGO-B
2010-07-29,22.45,22.45,22.02,22.3,4000,AGO-B
2010-07-30,22.44,22.48,22.3,22.4,13800,AGO-B
2010-08-02,22.4,22.65,22.25,22.59,20000,AGO-B
2010-08-03,22.67,22.69,22.47,22.69,8900,AGO-B
2010-08-04,22.7,22.89,22.7,22.8,14200,AGO-B
2010-08-05,22.76,23.09,22.75,22.95,14700,AGO-B
2010-08-06,23.1,23.49,22.81,22.95,12200,AGO-B
2010-08-09,23.24,23.24,22.98,23.19,23200,AGO-B
2010-08-10,23.44,23.45,23.25,23.25,11300,AGO-B
2010-08-11,22.96,23.2,22.87,23.16,5400,AGO-B
2010-08-12,23.1,23.1,22.95,23.09,6200,AGO-B
2010-08-13,23.05,23.3,23.05,23.12,16600,AGO-B
2010-08-16,23.11,23.5,23.11,23.4,7300,AGO-B
2010-08-17,23.28,23.71,23.28,23.5,15700,AGO-B
2010-08-18,23.89,23.9,23.54,23.75,19100,AGO-B
2010-08-19,23.8,24.23,23.69,23.96,13100,AGO-B
2010-08-20,23.81,24.29,23.81,24.0,12100,AGO-B
2010-08-23,24.4,24.4,23.74,24.13,12000,AGO-B
2010-08-24,24.06,24.19,23.95,24.14,7200,AGO-B
2010-08-25,23.97,24.2,23.8,24.0,10900,AGO-B
2010-08-26,24.0,24.1,23.85,23.96,12000,AGO-B
2010-08-27,23.8,23.8,23.37,23.55,7700,AGO-B
2010-08-30,23.69,23.98,23.6,23.6,24000,AGO-B
2010-08-31,23.9,23.9,23.65,23.8,20700,AGO-B
2010-09-01,23.99,24.03,23.8,23.8,8600,AGO-B
2010-09-02,24.0,24.1,23.68,24.0,21500,AGO-B
2010-09-03,24.15,24.25,23.92,24.25,12300,AGO-B
2010-09-07,24.25,24.65,24.16,24.2,10400,AGO-B
2010-09-08,24.52,24.6,24.23,24.5,16400,AGO-B
2010-09-09,24.59,24.97,24.31,24.72,15800,AGO-B
2010-09-10,24.96,24.96,24.26,24.42,16000,AGO-B
2010-09-13,24.5,24.8,24.39,24.6,14100,AGO-B
2010-09-14,24.65,24.65,24.32,24.36,13800,AGO-B
2010-09-15,24.43,24.6,24.43,24.6,6600,AGO-B
2010-09-16,24.56,24.88,24.42,24.55,12800,AGO-B
2010-09-17,24.4,24.6,24.4,24.54,7000,AGO-B
2010-09-20,24.67,24.74,24.5,24.5,3300,AGO-B
2010-09-21,24.5,24.75,24.5,24.7,6400,AGO-B
2010-09-22,24.7,24.85,24.6,24.66,15200,AGO-B
2010-09-23,24.6,24.7,24.6,24.64,7300,AGO-B
2010-09-24,24.65,24.97,24.6,24.78,11200,AGO-B
2010-09-27,24.8,24.9,24.5,24.89,21700,AGO-B
2010-09-28,24.78,24.94,24.78,24.79,7200,AGO-B
2010-09-29,24.85,24.85,24.7,24.8,6500,AGO-B
2010-09-30,24.85,24.94,24.82,24.94,5800,AGO-B
2010-10-01,24.79,24.93,24.68,24.73,5400,AGO-B
2010-10-04,24.55,24.7,24.55,24.55,4800,AGO-B
2010-10-05,24.7,24.84,24.55,24.56,4200,AGO-B
2010-10-06,24.73,24.73,24.54,24.67,5400,AGO-B
2010-10-07,24.66,24.66,24.42,24.42,3900,AGO-B
2010-10-08,24.53,24.9,24.49,24.9,9000,AGO-B
2010-10-11,24.9,24.94,24.6,24.6,16900,AGO-B
2010-10-12,24.79,24.79,24.63,24.63,3400,AGO-B
2010-10-13,24.6,24.6,24.42,24.52,7800,AGO-B
2010-10-14,24.5,24.52,24.4,24.5,4100,AGO-B
2010-10-15,24.5,24.52,24.31,24.31,4200,AGO-B
2010-10-18,24.4,24.45,24.31,24.35,12600,AGO-B
2010-10-19,24.35,24.4,24.17,24.2,13100,AGO-B
2010-10-20,24.25,24.39,24.18,24.3,12100,AGO-B
2010-10-21,24.39,24.4,24.09,24.2,15200,AGO-B
2010-10-22,24.13,24.42,24.13,24.42,14600,AGO-B
2010-10-25,24.55,24.55,23.89,24.1,22900,AGO-B
2010-10-26,24.21,24.21,23.4,24.07,25800,AGO-B
2010-10-27,24.04,24.35,24.0,24.14,11400,AGO-B
2010-10-28,24.27,24.47,24.11,24.39,8000,AGO-B
2010-10-29,24.55,24.55,24.27,24.31,4300,AGO-B
2010-11-01,24.55,24.75,24.26,24.65,11300,AGO-B
2010-11-02,24.65,24.65,24.4,24.43,14700,AGO-B
2010-11-03,24.6,24.65,24.25,24.35,5300,AGO-B
2010-11-04,24.69,24.69,24.48,24.65,5800,AGO-B
2010-11-05,24.74,24.79,24.5,24.65,10800,AGO-B
2010-11-08,24.74,24.82,24.63,24.76,6300,AGO-B
2010-11-09,24.77,24.9,24.64,24.8,9000,AGO-B
