Date,Open,High,Low,Close,Volume,Ticker
2001-11-13,21.05,22.1,20.0,21.66,5272700,AHS
2001-11-14,21.85,21.99,21.25,21.6,717600,AHS
2001-11-15,21.4,21.7,21.1,21.65,414200,AHS
2001-11-16,21.65,21.75,21.4,21.59,152900,AHS
2001-11-19,22.0,22.2,21.39,21.4,475400,AHS
2001-11-20,21.3,23.0,21.3,23.0,251700,AHS
2001-11-21,23.25,24.65,23.25,23.5,434900,AHS
2001-11-23,23.51,23.7,23.51,23.56,8600,AHS
2001-11-26,23.55,23.95,23.5,23.67,335300,AHS
2001-11-27,23.68,23.75,23.2,23.5,452200,AHS
2001-11-28,23.5,24.12,23.41,23.89,83100,AHS
2001-11-29,24.8,24.8,24.5,24.6,461700,AHS
2001-11-30,24.65,26.0,24.3,26.0,395100,AHS
2001-12-03,25.9,26.35,25.15,26.35,216700,AHS
2001-12-04,26.4,26.75,26.05,26.64,85500,AHS
2001-12-05,26.77,27.9,26.4,26.4,269600,AHS
2001-12-06,26.38,26.38,25.8,25.8,96100,AHS
2001-12-07,25.6,25.6,24.9,25.25,187300,AHS
2001-12-10,25.25,25.6,25.24,25.51,135300,AHS
2001-12-11,25.5,25.5,25.0,25.2,57900,AHS
2001-12-12,25.2,25.6,25.1,25.5,69300,AHS
2001-12-13,25.55,25.55,25.0,25.04,146300,AHS
2001-12-14,25.01,25.15,24.93,24.97,58200,AHS
2001-12-17,24.95,24.95,24.65,24.65,136500,AHS
2001-12-18,24.65,24.9,24.65,24.87,67900,AHS
2001-12-19,24.8,26.2,24.8,26.2,71900,AHS
2001-12-20,26.2,26.75,26.0,26.75,134300,AHS
2001-12-21,26.7,27.2,26.62,26.85,186300,AHS
2001-12-24,26.85,27.1,26.7,27.0,13900,AHS
2001-12-26,27.05,27.1,26.77,27.1,35300,AHS
2001-12-27,27.1,27.35,26.7,27.35,40800,AHS
2001-12-28,27.3,27.5,27.26,27.5,54400,AHS
2001-12-31,27.5,27.62,27.25,27.4,13600,AHS
2002-01-02,27.3,27.4,26.6,27.4,55000,AHS
2002-01-03,27.37,27.45,27.1,27.25,68500,AHS
2002-01-04,27.35,27.5,26.5,26.97,33100,AHS
2002-01-07,27.11,27.11,26.85,26.85,126100,AHS
2002-01-08,26.85,26.85,26.45,26.5,40300,AHS
2002-01-09,26.35,26.49,25.69,25.69,50500,AHS
2002-01-10,25.7,25.7,25.15,25.21,66600,AHS
2002-01-11,25.2,25.3,25.11,25.18,29100,AHS
2002-01-14,25.2,25.2,24.94,24.94,38900,AHS
2002-01-15,24.84,24.84,23.9,24.05,47100,AHS
2002-01-16,24.05,24.05,21.9,22.39,219500,AHS
2002-01-17,22.5,22.85,22.5,22.8,68500,AHS
2002-01-18,22.9,23.0,22.8,22.8,19800,AHS
2002-01-22,22.8,22.8,20.5,21.01,397500,AHS
