Date,Open,High,Low,Close,Volume,Ticker
1999-10-29,110.0,166.0,110.0,145.1875,11630600,AKAM
1999-11-01,144.0,179.0,143.0,174.3125,5181180,AKAM
1999-11-02,178.0,199.0,175.0,192.75,4029200,AKAM
1999-11-03,200.5,204.0,185.125,190.875,1564960,AKAM
1999-11-04,191.875,191.9375,171.0,173.25,1610730,AKAM
1999-11-05,178.0,183.0,166.4375,174.25,779842,AKAM
1999-11-08,173.0,190.5,172.875,187.5625,1033240,AKAM
1999-11-09,189.1875,197.0,178.0,189.75,545176,AKAM
1999-11-10,190.375,195.5,181.5,190.0,442901,AKAM
1999-11-11,190.0,194.25,178.5,182.1875,371003,AKAM
1999-11-12,185.125,185.5,174.0625,177.3125,300480,AKAM
1999-11-15,180.0,181.0,169.0,171.75,376589,AKAM
1999-11-16,176.75,184.0,163.625,184.0,588305,AKAM
1999-11-17,180.625,190.0,178.3125,189.375,425462,AKAM
1999-11-18,190.5,190.5,180.0,187.375,320284,AKAM
1999-11-19,191.0,192.625,183.25,185.0,428031,AKAM
1999-11-22,187.375,188.6875,176.0,184.875,254272,AKAM
1999-11-23,193.0,219.875,186.0,210.0,1611940,AKAM
1999-11-24,215.9375,215.9375,200.25,201.0,521097,AKAM
1999-11-26,207.5,210.5,203.5,206.5,183755,AKAM
1999-11-29,213.5,236.5,210.75,227.0,756088,AKAM
1999-11-30,237.5,249.5,220.5,237.0,1428680,AKAM
1999-12-01,238.125,239.0,207.25,217.625,795557,AKAM
1999-12-02,214.5625,225.75,214.5,215.25,284103,AKAM
1999-12-03,218.375,229.0,206.25,207.0,438564,AKAM
1999-12-06,208.1875,219.0,201.125,216.75,295331,AKAM
1999-12-07,223.75,229.375,215.0,226.0,518835,AKAM
1999-12-08,226.0,241.6875,223.25,241.5,519987,AKAM
1999-12-09,247.0,258.0,224.0,250.0,564988,AKAM
1999-12-10,253.375,258.75,238.0,243.5,311525,AKAM
1999-12-13,246.5,246.5,227.0,228.5,387777,AKAM
1999-12-14,233.75,236.375,217.0,217.0,397521,AKAM
1999-12-15,215.0,232.0,201.0,230.375,356246,AKAM
1999-12-16,236.5625,271.5,236.0,271.0,941567,AKAM
1999-12-17,271.5,298.0,268.0,281.75,723226,AKAM
1999-12-20,285.4375,302.0,282.9375,286.25,371339,AKAM
1999-12-21,292.5,309.0,290.25,301.875,457964,AKAM
1999-12-22,305.75,309.125,287.6875,291.0,355996,AKAM
1999-12-23,289.875,293.9375,274.25,281.4375,379993,AKAM
1999-12-27,282.5625,285.875,275.0,285.875,178707,AKAM
1999-12-28,284.6875,290.0,265.0,271.5,176805,AKAM
1999-12-29,277.875,304.0,277.5,303.5625,384244,AKAM
1999-12-30,315.9375,342.375,314.75,327.0,392047,AKAM
1999-12-31,334.0,344.875,320.0,327.625,239415,AKAM
2000-01-03,344.1875,345.5,311.0,321.25,288667,AKAM
2000-01-04,320.0,321.5,300.0,300.0,218447,AKAM
2000-01-05,282.5,299.625,262.0,283.5,1195200,AKAM
2000-01-06,272.0,278.125,235.25,236.125,803313,AKAM
2000-01-07,238.125,254.5,238.0,248.375,733170,AKAM
2000-01-10,259.125,286.25,249.5625,285.5,1154690,AKAM
2000-01-11,295.125,298.0,267.25,278.4375,485326,AKAM
