Date,Open,High,Low,Close,Volume,Ticker
1985-01-02,21.25,22.0,21.25,22.0,46789,ALBN-198801
1985-01-03,22.0,22.25,21.75,22.125,49247,ALBN-198801
1985-01-04,21.875,22.125,21.875,22.125,40943,ALBN-198801
1985-01-07,22.0,22.0,21.75,21.75,35130,ALBN-198801
1985-01-08,21.875,22.0,21.75,21.875,24158,ALBN-198801
1985-01-09,22.0,22.125,21.75,22.0,84288,ALBN-198801
1985-01-10,21.875,22.25,21.875,22.25,115580,ALBN-198801
1985-01-11,22.125,22.5,22.125,22.5,126056,ALBN-198801
1985-01-14,22.75,23.125,22.25,23.0,230907,ALBN-198801
1985-01-15,23.375,23.625,23.125,23.5,168950,ALBN-198801
1985-01-16,23.625,23.875,23.375,23.75,50944,ALBN-198801
1985-01-17,23.5,23.75,23.125,23.625,512331,ALBN-198801
1985-01-18,23.625,23.625,23.375,23.375,74294,ALBN-198801
1985-01-21,23.375,23.75,23.375,23.75,27237,ALBN-198801
1985-01-22,23.625,24.0,23.625,24.0,131170,ALBN-198801
1985-01-23,24.0,24.0,23.875,23.875,95937,ALBN-198801
1985-01-24,24.125,24.375,23.875,24.125,210213,ALBN-198801
1985-01-25,24.125,24.25,24.125,24.25,67034,ALBN-198801
1985-01-28,24.375,24.625,24.125,24.375,232263,ALBN-198801
1985-01-29,24.625,24.875,24.375,24.75,132546,ALBN-198801
1985-01-30,25.0,25.25,24.75,25.125,557553,ALBN-198801
1985-01-31,25.375,25.375,25.125,25.125,147472,ALBN-198801
1985-02-01,24.875,25.25,24.5,25.0,146321,ALBN-198801
1985-02-04,25.25,25.5,25.0,25.25,156612,ALBN-198801
1985-02-05,25.5,25.75,25.375,25.625,93553,ALBN-198801
1985-02-06,26.0,26.5,25.625,26.375,120325,ALBN-198801
1985-02-07,26.75,26.75,26.375,26.375,127504,ALBN-198801
1985-02-08,26.375,26.625,26.375,26.625,120108,ALBN-198801
1985-02-11,26.625,26.625,26.375,26.375,136162,ALBN-198801
1985-02-12,26.375,26.375,25.875,25.875,61227,ALBN-198801
1985-02-13,25.75,26.0,25.75,26.0,22543,ALBN-198801
1985-02-14,26.0,26.125,25.875,26.0,151482,ALBN-198801
1985-02-15,26.125,26.125,25.875,25.875,106646,ALBN-198801
1985-02-19,25.75,26.0,25.75,26.0,100568,ALBN-198801
1985-02-20,26.0,26.125,25.75,26.0,103256,ALBN-198801
1985-02-21,25.875,26.125,25.625,25.75,241302,ALBN-198801
1985-02-22,25.75,25.75,25.25,25.25,126647,ALBN-198801
1985-02-25,25.375,25.375,25.125,25.125,368737,ALBN-198801
1985-02-26,25.0,25.25,24.875,25.0,90553,ALBN-198801
1985-02-27,25.25,25.5,25.0,25.25,63468,ALBN-198801
1985-02-28,25.5,25.5,25.25,25.25,46731,ALBN-198801
1985-03-01,25.5,25.75,25.25,25.5,58714,ALBN-198801
1985-03-04,25.5,25.75,25.375,25.5,264887,ALBN-198801
1985-03-05,25.375,25.5,25.25,25.375,39146,ALBN-198801
1985-03-06,25.375,25.5,25.375,25.5,129306,ALBN-198801
1985-03-07,25.0,25.5,24.625,24.75,920468,ALBN-198801
1985-03-08,24.5,24.75,24.5,24.75,889816,ALBN-198801
1985-03-11,24.625,25.0,24.625,25.0,26579,ALBN-198801
1985-03-12,25.0,25.125,24.875,25.0,74400,ALBN-198801
1985-03-13,25.125,25.125,24.875,24.875,38624,ALBN-198801
1985-03-14,24.875,25.0,24.75,24.875,80431,ALBN-198801
1985-03-15,24.5,24.875,24.0,24.625,702882,ALBN-198801
1985-03-18,24.625,24.625,24.25,24.25,131611,ALBN-198801
1985-03-19,24.25,24.375,24.0,24.125,381342,ALBN-198801
1985-03-20,24.375,24.5,24.25,24.375,142691,ALBN-198801
1985-03-21,24.75,25.375,24.25,25.125,254463,ALBN-198801
1985-03-22,25.0,25.25,24.625,24.875,76657,ALBN-198801
1985-03-25,24.375,24.75,24.0,24.375,541281,ALBN-198801
1985-03-26,24.25,24.5,23.875,24.125,111163,ALBN-198801
1985-03-27,24.125,24.125,23.75,23.75,68014,ALBN-198801
1985-03-28,24.0,24.125,23.875,24.0,325337,ALBN-198801
1985-03-29,24.0,24.25,23.875,24.0,322107,ALBN-198801
1985-04-01,24.0,24.375,24.0,24.375,185280,ALBN-198801
1985-04-02,24.375,24.375,24.0,24.0,135982,ALBN-198801
1985-04-03,24.0,24.0,23.875,23.875,232510,ALBN-198801
1985-04-04,23.75,24.0,23.375,23.5,207532,ALBN-198801
1985-04-08,23.25,24.0,22.625,23.875,61576,ALBN-198801
1985-04-09,23.75,24.0,23.75,24.0,38964,ALBN-198801
1985-04-10,24.0,24.25,23.875,24.125,178519,ALBN-198801
1985-04-11,24.375,24.75,24.0,24.625,118253,ALBN-198801
1985-04-12,24.5,24.75,24.5,24.75,134036,ALBN-198801
1985-04-15,24.625,24.875,24.625,24.875,43350,ALBN-198801
1985-04-16,24.75,25.125,24.75,25.125,212231,ALBN-198801
1985-04-17,25.25,25.5,25.0,25.375,184350,ALBN-198801
1985-04-18,25.5,25.75,25.375,25.5,327033,ALBN-198801
1985-04-19,25.625,25.625,25.125,25.125,30398,ALBN-198801
1985-04-22,25.25,25.25,24.875,24.875,37584,ALBN-198801
1985-04-23,24.75,25.0,24.625,24.75,12970,ALBN-198801
1985-04-24,25.0,25.0,24.625,24.625,52993,ALBN-198801
1985-04-25,24.625,24.75,24.625,24.75,22915,ALBN-198801
1985-04-26,24.875,24.875,24.625,24.625,24357,ALBN-198801
1985-04-29,24.75,24.75,24.625,24.625,8403,ALBN-198801
1985-04-30,24.5,24.75,24.125,24.25,47048,ALBN-198801
1985-05-01,24.375,24.5,24.375,24.5,51681,ALBN-198801
1985-05-02,24.25,24.625,24.25,24.625,100600,ALBN-198801
1985-05-03,24.5,24.75,24.5,24.75,13025,ALBN-198801
1985-05-06,24.5,25.0,24.5,25.0,27900,ALBN-198801
1985-05-07,24.875,25.125,24.875,25.125,54261,ALBN-198801
1985-05-08,25.125,25.375,24.875,25.0,60262,ALBN-198801
1985-05-09,25.25,25.25,25.0,25.0,32628,ALBN-198801
1985-05-10,25.125,25.25,25.0,25.125,51223,ALBN-198801
1985-05-13,25.125,25.125,24.875,24.875,96708,ALBN-198801
1985-05-14,24.75,25.0,24.5,24.75,101513,ALBN-198801
