Date,Open,High,Low,Close,Volume,Ticker
1987-02-11,13.125,13.125,13.125,13.125,6200,ALFB-199107
1987-02-12,13.875,13.875,13.875,13.875,10700,ALFB-199107
1987-02-13,14.0,14.0,14.0,14.0,4710,ALFB-199107
1987-02-17,13.5,13.5,13.5,13.5,3000,ALFB-199107
1987-02-18,13.625,13.625,13.625,13.625,9000,ALFB-199107
1987-02-19,13.625,13.625,13.625,13.625,24150,ALFB-199107
1987-02-20,13.625,13.625,13.625,13.625,13375,ALFB-199107
1987-02-23,13.625,13.625,13.625,13.625,3000,ALFB-199107
1987-02-25,13.125,13.125,13.125,13.125,2400,ALFB-199107
1987-02-26,13.125,13.125,13.125,13.125,10000,ALFB-199107
1987-02-27,13.125,13.125,13.125,13.125,30000,ALFB-199107
1987-03-02,13.375,13.375,13.375,13.375,10,ALFB-199107
1987-03-03,14.0,14.0,14.0,14.0,11500,ALFB-199107
1987-03-04,14.25,14.25,14.25,14.25,3300,ALFB-199107
1987-03-05,14.25,14.25,14.25,14.25,5500,ALFB-199107
1987-03-06,14.25,14.25,14.25,14.25,6045,ALFB-199107
1987-03-09,14.5,14.5,14.5,14.5,3100,ALFB-199107
1987-03-10,14.375,14.375,14.375,14.375,8500,ALFB-199107
1987-03-11,14.375,14.375,14.375,14.375,5000,ALFB-199107
1987-03-12,14.375,14.375,14.375,14.375,4300,ALFB-199107
1987-03-13,14.375,14.375,14.375,14.375,3700,ALFB-199107
1987-03-16,14.375,14.375,14.375,14.375,2500,ALFB-199107
1987-03-17,14.5,15.5,14.5,15.5,8100,ALFB-199107
1987-03-18,15.625,16.75,14.5,16.0,11578,ALFB-199107
1987-03-19,15.875,16.5,15.875,16.5,4690,ALFB-199107
1987-03-20,15.5,16.5,15.5,16.5,5865,ALFB-199107
1987-03-23,17.0,17.0,16.5,16.5,3100,ALFB-199107
1987-03-24,15.5,16.5,15.5,16.5,1630,ALFB-199107
1987-03-25,15.5,16.0,15.5,16.0,1200,ALFB-199107
1987-03-26,16.0,16.0,15.0,15.0,3200,ALFB-199107
1987-03-27,15.5,15.5,15.0,15.0,4900,ALFB-199107
1987-03-30,14.75,14.75,14.375,14.375,2800,ALFB-199107
1987-03-31,14.5,14.5,14.5,14.5,210,ALFB-199107
1987-04-01,14.75,14.75,14.75,14.75,200,ALFB-199107
1987-04-02,13.5,14.5,13.5,14.5,2600,ALFB-199107
1987-04-03,14.0,14.0,14.0,14.0,1000,ALFB-199107
1987-04-06,15.0,15.0,15.0,15.0,400,ALFB-199107
1987-04-07,14.5,15.0,14.0,14.75,5060,ALFB-199107
1987-04-10,14.75,14.75,14.0,14.0,6000,ALFB-199107
1987-04-13,14.25,14.25,14.25,14.25,400,ALFB-199107
1987-04-14,14.75,14.75,14.75,14.75,4500,ALFB-199107
1987-04-15,15.0,15.0,14.5,14.5,3300,ALFB-199107
1987-04-16,14.75,14.75,14.75,14.75,1600,ALFB-199107
1987-04-21,14.5,14.5,14.5,14.5,200,ALFB-199107
1987-04-22,14.5,14.5,14.5,14.5,100,ALFB-199107
1987-04-23,14.75,14.75,14.75,14.75,1000,ALFB-199107
1987-04-24,14.75,15.0,14.5,14.75,1700,ALFB-199107
1987-04-27,15.0,15.0,14.5,14.5,600,ALFB-199107
1987-04-28,14.5,14.5,14.0,14.0,2850,ALFB-199107
1987-04-29,14.0,14.0,14.0,14.0,100,ALFB-199107
1987-04-30,14.5,14.5,14.0,14.0,2400,ALFB-199107
1987-05-01,14.25,14.25,14.25,14.25,500,ALFB-199107
1987-05-04,13.75,13.75,13.75,13.75,1000,ALFB-199107
1987-05-05,13.75,13.75,13.75,13.75,500,ALFB-199107
1987-05-06,13.5,13.5,13.5,13.5,2000,ALFB-199107
1987-05-07,13.75,13.75,13.5,13.5,2500,ALFB-199107
1987-05-08,13.5,13.5,13.0,13.0,3700,ALFB-199107
1987-05-11,11.875,12.0,11.875,12.0,1600,ALFB-199107
1987-05-12,12.5,12.5,11.5,11.5,1300,ALFB-199107
1987-05-13,12.5,12.5,12.5,12.5,1000,ALFB-199107
1987-05-19,11.75,11.75,11.75,11.75,500,ALFB-199107
1987-05-22,12.0,12.0,11.0,11.0,3500,ALFB-199107
1987-05-26,11.0,12.0,11.0,12.0,5700,ALFB-199107
1987-05-28,11.5,12.5,11.5,12.5,850,ALFB-199107
1987-06-02,12.25,12.25,12.25,12.25,200,ALFB-199107
1987-06-04,11.5,11.5,11.25,11.25,2000,ALFB-199107
1987-06-05,11.25,11.375,11.0,11.125,4000,ALFB-199107
1987-06-11,11.0,11.0,11.0,11.0,1000,ALFB-199107
1987-06-12,11.25,11.25,11.25,11.25,1700,ALFB-199107
1987-06-15,10.75,10.75,10.75,10.75,200,ALFB-199107
1987-06-16,10.75,11.0,10.75,11.0,5000,ALFB-199107
1987-06-17,11.25,11.25,11.25,11.25,200,ALFB-199107
1987-06-18,11.25,11.25,11.25,11.25,2000,ALFB-199107
1987-06-22,11.0,11.0,11.0,11.0,100,ALFB-199107
1987-06-23,11.0,11.5,11.0,11.5,6000,ALFB-199107
1987-06-24,11.25,11.75,11.25,11.75,4650,ALFB-199107
1987-06-25,11.25,11.25,11.25,11.25,100,ALFB-199107
1987-07-01,11.5,11.5,11.5,11.5,500,ALFB-199107
1987-07-02,11.5,12.25,11.5,12.25,200,ALFB-199107
1987-07-09,12.5,12.5,12.5,12.5,300,ALFB-199107
1987-07-10,12.5,12.5,11.5,11.5,18950,ALFB-199107
1987-07-13,11.25,11.25,11.0,11.0,4535,ALFB-199107
1987-07-14,11.5,11.5,11.5,11.5,200,ALFB-199107
1987-07-15,10.75,11.5,10.75,11.5,5200,ALFB-199107
1987-07-17,11.25,11.25,11.25,11.25,500,ALFB-199107
1987-07-20,11.5,11.75,11.25,11.5,3000,ALFB-199107
1987-07-21,11.25,11.5,11.25,11.5,2000,ALFB-199107
1987-07-23,11.0,11.0,11.0,11.0,300,ALFB-199107
1987-07-27,11.0,11.5,11.0,11.5,4000,ALFB-199107
1987-08-04,12.0,12.0,12.0,12.0,500,ALFB-199107
1987-08-05,11.0,12.0,11.0,12.0,2200,ALFB-199107
1987-08-06,11.0,11.5,11.0,11.5,2400,ALFB-199107
1987-08-11,12.0,12.0,11.0,11.0,2700,ALFB-199107
1987-08-12,11.0,11.0,11.0,11.0,500,ALFB-199107
1987-08-13,11.25,11.25,11.25,11.25,400,ALFB-199107
1987-08-14,11.25,11.5,11.0,11.375,5775,ALFB-199107
1987-08-18,11.0,11.0,11.0,11.0,200,ALFB-199107
1987-08-21,11.0,11.0,11.0,11.0,100,ALFB-199107
1987-08-24,11.5,12.0,11.0,11.25,3900,ALFB-199107
1987-08-26,10.75,11.5,10.75,11.5,5800,ALFB-199107
1987-08-27,11.25,11.25,11.25,11.25,500,ALFB-199107
1987-08-28,11.0,11.0,11.0,11.0,200,ALFB-199107
1987-09-01,11.0,11.25,11.0,11.25,2600,ALFB-199107
1987-09-02,11.75,11.75,11.75,11.75,300,ALFB-199107
1987-09-03,11.0,11.0,11.0,11.0,300,ALFB-199107
1987-09-08,11.5,11.5,11.25,11.25,1200,ALFB-199107
1987-09-09,11.25,12.0,11.25,12.0,3000,ALFB-199107
1987-09-10,11.875,12.25,11.5,12.0,3000,ALFB-199107
1987-09-11,12.0,12.0,12.0,12.0,1000,ALFB-199107
1987-09-14,11.5,11.5,11.5,11.5,100,ALFB-199107
1987-09-17,11.5,12.5,11.5,12.5,3000,ALFB-199107
1987-09-21,11.5,11.5,11.5,11.5,500,ALFB-199107
1987-09-22,12.0,12.0,11.5,11.5,2489,ALFB-199107
1987-09-23,11.5,11.625,11.5,11.625,5350,ALFB-199107
1987-09-24,11.5,12.0,11.5,12.0,5200,ALFB-199107
1987-09-28,12.5,12.5,11.5,11.5,7300,ALFB-199107
1987-09-29,11.5,11.5,11.5,11.5,400,ALFB-199107
1987-09-30,11.5,11.5,11.5,11.5,500,ALFB-199107
1987-10-01,12.5,12.5,12.5,12.5,200,ALFB-199107
1987-10-05,11.5,12.25,11.5,12.25,3300,ALFB-199107
1987-10-06,11.5,12.5,11.5,12.5,22000,ALFB-199107
1987-10-07,11.5,11.5,11.5,11.5,3000,ALFB-199107
1987-10-08,11.5,12.0,11.5,12.0,21700,ALFB-199107
1987-10-09,11.625,12.0,11.625,12.0,5750,ALFB-199107
1987-10-12,11.875,12.0,11.75,11.875,11026,ALFB-199107
1987-10-13,12.375,12.75,12.0,12.375,2200,ALFB-199107
1987-10-15,12.0,12.0,12.0,12.0,500,ALFB-199107
1987-10-16,12.0,12.75,12.0,12.75,1900,ALFB-199107
1987-10-19,12.75,12.75,12.0,12.0,2500,ALFB-199107
1987-10-20,11.75,11.75,11.5,11.5,14890,ALFB-199107
1987-10-21,11.75,11.75,11.75,11.75,600,ALFB-199107
1987-10-22,11.25,11.25,10.5,10.5,2900,ALFB-199107
1987-10-26,10.25,10.5,10.25,10.5,10300,ALFB-199107
1987-10-27,10.0,10.0,9.75,9.75,1300,ALFB-199107
1987-10-28,9.5,9.5,9.0,9.0,840,ALFB-199107
1987-10-29,9.5,9.5,9.0,9.0,800,ALFB-199107
1987-10-30,9.375,9.75,9.0,9.375,3000,ALFB-199107
1987-11-02,9.5,10.0,9.5,10.0,7300,ALFB-199107
1987-11-12,10.0,10.0,10.0,10.0,200,ALFB-199107
1987-11-13,10.0,10.25,10.0,10.25,815,ALFB-199107
1987-11-16,10.0,10.75,10.0,10.75,500,ALFB-199107
1987-11-18,10.0,10.0,10.0,10.0,100,ALFB-199107
1987-11-19,9.5,9.875,9.5,9.875,27750,ALFB-199107
1987-11-20,9.5,9.5,9.5,9.5,100,ALFB-199107
1987-11-23,9.5,9.5,9.5,9.5,200,ALFB-199107
1987-11-24,9.75,9.75,9.5,9.5,700,ALFB-199107
1987-11-25,10.5,10.5,10.5,10.5,100,ALFB-199107
1987-11-30,9.5,9.5,9.5,9.5,1000,ALFB-199107
1987-12-02,10.25,10.25,9.5,9.5,1100,ALFB-199107
1987-12-03,9.625,10.25,9.0,9.375,1366,ALFB-199107
1987-12-08,9.625,9.625,9.0,9.0,550,ALFB-199107
1987-12-09,10.25,10.25,9.5,9.5,2200,ALFB-199107
1987-12-10,9.0,9.75,9.0,9.75,4000,ALFB-199107
1987-12-11,9.0,9.0,9.0,9.0,1000,ALFB-199107
1987-12-14,9.0,9.25,9.0,9.25,8100,ALFB-199107
1987-12-15,9.0,9.0,9.0,9.0,160,ALFB-199107
1987-12-16,9.0,9.25,9.0,9.25,1800,ALFB-199107
1987-12-18,9.25,9.25,9.0,9.0,2700,ALFB-199107
1987-12-21,9.0,10.25,9.0,10.25,2500,ALFB-199107
1987-12-22,9.0,9.0,9.0,9.0,3100,ALFB-199107
1987-12-23,9.0,9.0,9.0,9.0,1500,ALFB-199107
1987-12-28,9.0,9.0,9.0,9.0,400,ALFB-199107
1987-12-29,9.0,9.0,9.0,9.0,1000,ALFB-199107
1987-12-30,8.75,8.75,8.75,8.75,250,ALFB-199107
1987-12-31,8.75,9.25,8.75,9.25,4000,ALFB-199107
1988-01-05,9.75,9.75,9.0,9.0,2400,ALFB-199107
1988-01-06,9.25,9.25,9.25,9.25,500,ALFB-199107
1988-01-07,9.25,9.5,9.0,9.125,4800,ALFB-199107
1988-01-08,8.75,8.75,8.75,8.75,1000,ALFB-199107
1988-01-11,9.125,9.5,9.125,9.5,6600,ALFB-199107
1988-01-15,9.75,9.75,9.75,9.75,2000,ALFB-199107
1988-01-19,9.375,9.375,9.375,9.375,3900,ALFB-199107
1988-01-21,9.375,9.375,9.375,9.375,2000,ALFB-199107
1988-01-22,9.25,9.5,9.25,9.5,1400,ALFB-199107
1988-01-25,9.375,9.375,9.375,9.375,2000,ALFB-199107
1988-01-26,9.375,9.375,9.375,9.375,1500,ALFB-199107
1988-01-28,10.0,10.0,10.0,10.0,2500,ALFB-199107
1988-02-01,10.25,10.25,10.25,10.25,300,ALFB-199107
1988-02-02,10.5,10.5,9.75,9.75,500,ALFB-199107
1988-02-03,10.5,10.5,10.5,10.5,350,ALFB-199107
1988-02-05,10.75,10.75,10.75,10.75,630,ALFB-199107
1988-02-08,10.5,10.625,10.5,10.625,2000,ALFB-199107
1988-02-10,10.25,10.25,10.25,10.25,3500,ALFB-199107
1988-02-11,11.0,11.0,11.0,11.0,3000,ALFB-199107
1988-02-12,10.5,10.5,10.5,10.5,100,ALFB-199107
1988-02-17,11.0,11.0,11.0,11.0,1000,ALFB-199107
1988-02-25,10.75,10.75,10.75,10.75,400,ALFB-199107
1988-02-29,11.25,11.25,11.25,11.25,150,ALFB-199107
1988-03-01,11.25,11.25,11.0,11.0,4000,ALFB-199107
1988-03-02,11.25,11.25,11.0,11.0,2900,ALFB-199107
1988-03-09,11.75,11.75,11.75,11.75,208,ALFB-199107
1988-03-14,11.0,11.75,11.0,11.75,3100,ALFB-199107
1988-03-15,11.375,11.75,11.0,11.25,1145,ALFB-199107
1988-03-17,11.5,11.875,11.25,11.375,4200,ALFB-199107
1988-03-18,12.0,12.0,11.25,11.25,934,ALFB-199107
1988-03-21,11.5,11.5,11.5,11.5,500,ALFB-199107
1988-03-22,11.5,11.5,11.5,11.5,1000,ALFB-199107
1988-03-23,11.25,11.25,11.25,11.25,2500,ALFB-199107
1988-03-24,11.25,11.25,11.25,11.25,600,ALFB-199107
1988-03-25,11.5,11.75,11.5,11.75,5500,ALFB-199107
1988-03-28,11.5,11.5,11.25,11.25,4000,ALFB-199107
1988-03-29,11.25,11.25,11.25,11.25,1000,ALFB-199107
1988-03-31,11.25,11.75,11.25,11.75,500,ALFB-199107
1988-04-04,11.25,11.25,11.25,11.25,100,ALFB-199107
1988-04-07,11.25,11.25,11.25,11.25,550,ALFB-199107
1988-04-08,11.25,11.5,11.25,11.5,5000,ALFB-199107
1988-04-12,11.5,11.5,11.5,11.5,200,ALFB-199107
1988-04-14,11.25,11.375,11.25,11.375,6000,ALFB-199107
1988-04-15,11.0,11.0,11.0,11.0,200,ALFB-199107
1988-04-18,11.5,11.5,11.5,11.5,3000,ALFB-199107
1988-04-19,11.0,11.0,11.0,11.0,100,ALFB-199107
1988-04-20,11.0,11.0,11.0,11.0,400,ALFB-199107
1988-04-25,11.0,11.0,11.0,11.0,100,ALFB-199107
1988-04-26,11.0,11.0,11.0,11.0,100,ALFB-199107
1988-04-28,11.0,11.0,10.75,10.75,4750,ALFB-199107
1988-04-29,11.25,11.25,11.25,11.25,4000,ALFB-199107
1988-05-06,10.75,11.0,10.75,11.0,6200,ALFB-199107
1988-05-09,10.75,10.75,10.75,10.75,100,ALFB-199107
1988-05-13,10.75,10.75,10.75,10.75,1000,ALFB-199107
1988-05-18,10.75,10.75,10.5,10.5,1650,ALFB-199107
1988-05-20,10.5,11.0,10.5,11.0,3800,ALFB-199107
1988-05-23,10.5,10.5,10.5,10.5,800,ALFB-199107
1988-05-25,10.5,11.0,10.5,11.0,1610,ALFB-199107
1988-05-26,11.0,11.0,10.5,10.5,4500,ALFB-199107
1988-05-27,10.625,11.125,10.625,11.125,4300,ALFB-199107
1988-05-31,11.125,11.125,11.125,11.125,2300,ALFB-199107
1988-06-01,11.25,11.25,11.25,11.25,100,ALFB-199107
1988-06-09,10.5,10.5,10.5,10.5,100,ALFB-199107
1988-06-10,10.5,10.5,10.5,10.5,300,ALFB-199107
1988-06-15,11.0,11.125,11.0,11.125,1500,ALFB-199107
1988-06-16,10.5,10.5,10.5,10.5,1000,ALFB-199107
1988-06-20,10.75,11.0,10.5,10.875,2600,ALFB-199107
1988-06-21,10.5,11.0,10.5,11.0,1350,ALFB-199107
1988-06-23,10.5,10.5,10.5,10.5,1000,ALFB-199107
1988-06-24,11.0,11.0,11.0,11.0,1150,ALFB-199107
1988-06-28,11.25,11.25,11.25,11.25,1000,ALFB-199107
1988-06-29,10.5,10.75,10.5,10.75,600,ALFB-199107
1988-06-30,10.875,11.25,10.5,11.125,14900,ALFB-199107
1988-07-05,10.5,10.5,10.5,10.5,100,ALFB-199107
1988-07-06,10.5,10.5,10.5,10.5,300,ALFB-199107
1988-07-07,11.5,11.5,11.5,11.5,100,ALFB-199107
1988-07-08,11.0,11.5,11.0,11.5,2700,ALFB-199107
1988-07-11,10.75,11.0,10.75,11.0,1205,ALFB-199107
1988-07-12,10.75,10.75,10.75,10.75,100,ALFB-199107
1988-07-14,10.75,10.75,10.75,10.75,100,ALFB-199107
1988-07-21,11.75,11.75,11.75,11.75,133,ALFB-199107
1988-07-22,11.0,11.0,11.0,11.0,100,ALFB-199107
1988-07-26,11.25,11.25,11.25,11.25,100,ALFB-199107
1988-07-29,12.0,12.0,12.0,12.0,300,ALFB-199107
