Date,Open,High,Low,Close,Volume,Ticker
1989-12-20,14.349860000000001,14.349860000000001,14.349860000000001,14.349860000000001,109130,NMA
1989-12-21,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,43694,NMA
1989-12-22,14.349860000000001,14.469439999999999,14.349860000000001,14.469439999999999,11394,NMA
1989-12-26,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,14425,NMA
1989-12-27,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,85192,NMA
1989-12-28,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,68781,NMA
1989-12-29,14.349860000000001,14.469439999999999,14.349860000000001,14.469439999999999,23728,NMA
1990-01-02,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,103799,NMA
1990-01-03,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,72544,NMA
1990-01-04,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,38258,NMA
1990-01-05,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,24251,NMA
1990-01-08,14.349860000000001,14.469439999999999,14.349860000000001,14.469439999999999,30941,NMA
1990-01-09,14.349860000000001,14.469439999999999,14.349860000000001,14.469439999999999,32195,NMA
1990-01-10,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,21011,NMA
1990-01-11,14.349860000000001,14.469439999999999,14.349860000000001,14.349860000000001,59687,NMA
1990-01-12,14.349860000000001,14.469439999999999,14.349860000000001,14.349860000000001,26237,NMA
1990-01-15,14.469439999999999,14.469439999999999,14.349860000000001,14.349860000000001,32614,NMA
1990-01-16,14.349860000000001,14.469439999999999,14.349860000000001,14.349860000000001,30523,NMA
1990-01-17,14.349860000000001,14.469439999999999,14.349860000000001,14.469439999999999,43694,NMA
1990-01-18,14.349860000000001,14.469439999999999,14.349860000000001,14.469439999999999,34286,NMA
1990-01-19,14.349860000000001,14.469439999999999,14.349860000000001,14.349860000000001,53520,NMA
1990-01-22,14.349860000000001,14.349860000000001,14.11069,14.11069,435893,NMA
1990-01-23,14.11069,14.23027,14.11069,14.23027,68468,NMA
1990-01-24,14.11069,14.23027,14.11069,14.11069,69199,NMA
1990-01-25,14.11069,14.349860000000001,14.11069,14.349860000000001,187946,NMA
1990-01-26,14.349860000000001,14.349860000000001,14.23027,14.23027,18293,NMA
1990-01-29,14.349860000000001,14.349860000000001,14.23027,14.349860000000001,44739,NMA
1990-01-30,14.23027,14.23027,14.11069,14.11069,28746,NMA
1990-01-31,14.11069,14.23027,14.11069,14.23027,23206,NMA
1990-02-01,14.11069,14.23027,13.99111,14.11069,67213,NMA
1990-02-02,14.11069,14.11069,13.99111,13.99111,20174,NMA
1990-02-05,13.99111,14.23027,13.99111,14.23027,71290,NMA
1990-02-06,14.11069,14.23027,14.11069,14.23027,51011,NMA
1990-02-07,14.11069,14.23027,14.11069,14.11069,23938,NMA
1990-02-08,14.23027,14.23027,14.11069,14.11069,32927,NMA
1990-02-09,14.11069,14.23027,14.11069,14.23027,31255,NMA
1990-02-12,14.11069,14.23027,14.11069,14.11069,18502,NMA
1990-02-13,13.99111,14.11069,13.99111,13.99111,47352,NMA
1990-02-14,13.99111,14.23027,13.99111,13.99111,35018,NMA
1990-02-15,14.11069,14.23027,13.99111,13.99111,106935,NMA
1990-02-16,14.11069,14.11069,13.99111,14.11069,36795,NMA
1990-02-20,14.11069,14.23027,13.99111,14.11069,36481,NMA
1990-02-21,13.99111,14.11069,13.99111,13.99111,21429,NMA
1990-02-22,14.11069,14.11069,13.99111,13.99111,30941,NMA
1990-02-23,13.99111,14.11069,13.99111,14.11069,10035,NMA
1990-02-26,13.99111,14.11069,13.99111,14.11069,21429,NMA
1990-02-27,13.99111,14.11069,13.871529999999998,13.99111,78189,NMA
1990-02-28,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,26133,NMA
1990-03-01,13.871529999999998,14.11069,13.871529999999998,13.99111,35959,NMA
1990-03-02,14.11069,14.11069,13.99111,13.99111,7317,NMA
1990-03-05,14.11069,14.11069,13.99111,14.11069,22788,NMA
1990-03-06,13.99111,14.11069,13.99111,14.11069,17875,NMA
1990-03-07,14.11069,14.23027,13.99111,14.11069,26342,NMA
1990-03-08,14.11069,14.23027,14.11069,14.11069,15993,NMA
1990-03-09,14.11069,14.23027,14.11069,14.11069,89583,NMA
1990-03-12,14.11069,14.23027,14.11069,14.23027,50488,NMA
1990-03-13,14.11069,14.23027,14.11069,14.11069,44321,NMA
1990-03-14,14.11069,14.23027,14.11069,14.23027,36586,NMA
1990-03-15,14.11069,14.23027,14.11069,14.11069,41290,NMA
1990-03-16,14.11069,14.23027,14.11069,14.23027,14425,NMA
1990-03-19,14.23027,14.23027,14.11069,14.11069,25087,NMA
1990-03-20,13.99111,14.23027,13.99111,14.11069,38885,NMA
1990-03-21,14.11069,14.11069,13.99111,14.11069,13484,NMA
1990-03-22,14.11069,14.23027,14.11069,14.11069,49757,NMA
1990-03-23,14.11069,14.23027,14.11069,14.11069,47352,NMA
1990-03-26,14.11069,14.23027,14.11069,14.11069,15784,NMA
1990-03-27,14.11069,14.23027,14.11069,14.11069,72858,NMA
1990-03-28,14.11069,14.11069,13.99111,14.11069,32823,NMA
1990-03-29,14.11069,14.11069,13.99111,13.99111,52683,NMA
1990-03-30,14.11069,14.11069,13.99111,13.99111,22788,NMA
1990-04-02,13.99111,14.11069,13.99111,13.99111,29791,NMA
1990-04-03,13.99111,14.11069,13.99111,14.11069,32300,NMA
1990-04-04,14.11069,14.11069,13.871529999999998,13.99111,48398,NMA
1990-04-05,13.99111,14.11069,13.871529999999998,14.11069,37317,NMA
1990-04-06,13.99111,13.99111,13.871529999999998,13.99111,30732,NMA
1990-04-09,13.99111,13.99111,13.871529999999998,13.99111,62823,NMA
1990-04-10,13.871529999999998,13.99111,13.75195,13.99111,63555,NMA
1990-04-11,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,28119,NMA
1990-04-12,13.99111,13.99111,13.871529999999998,13.871529999999998,67109,NMA
1990-04-16,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,51220,NMA
1990-04-17,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,49234,NMA
1990-04-18,13.871529999999998,13.99111,13.75195,13.99111,156273,NMA
1990-04-19,13.99111,13.99111,13.75195,13.75195,37736,NMA
1990-04-20,13.75195,13.871529999999998,13.51278,13.63236,81220,NMA
1990-04-23,13.63236,13.63236,13.03445,13.273620000000001,50802,NMA
1990-04-24,13.273620000000001,13.3932,13.15404,13.3932,64182,NMA
1990-04-25,13.3932,13.51278,13.273620000000001,13.273620000000001,58015,NMA
1990-04-26,13.3932,13.51278,13.273620000000001,13.51278,26655,NMA
1990-04-27,13.51278,13.51278,13.3932,13.51278,25924,NMA
1990-04-30,13.51278,13.63236,13.51278,13.63236,21324,NMA
1990-05-01,13.63236,13.63236,13.51278,13.51278,30418,NMA
1990-05-02,13.63236,13.75195,13.63236,13.75195,63346,NMA
1990-05-03,13.63236,13.871529999999998,13.63236,13.75195,27492,NMA
1990-05-04,13.75195,13.871529999999998,13.75195,13.75195,30209,NMA
1990-05-07,13.871529999999998,13.871529999999998,13.63236,13.63236,72335,NMA
1990-05-08,13.75195,13.75195,13.63236,13.63236,33032,NMA
1990-05-09,13.63236,13.63236,13.273620000000001,13.3932,35122,NMA
1990-05-10,13.3932,13.3932,13.15404,13.15404,52370,NMA
1990-05-11,13.273620000000001,13.51278,13.273620000000001,13.3932,37422,NMA
1990-05-14,13.51278,13.51278,13.3932,13.51278,64704,NMA
1990-05-15,13.3932,13.51278,13.273620000000001,13.273620000000001,43589,NMA
1990-05-16,13.273620000000001,13.3932,13.273620000000001,13.273620000000001,47248,NMA
1990-05-17,13.273620000000001,13.3932,13.15404,13.273620000000001,41708,NMA
1990-05-18,13.3932,13.51278,13.273620000000001,13.3932,57074,NMA
1990-05-21,13.51278,13.51278,13.273620000000001,13.3932,33032,NMA
1990-05-22,13.3932,13.63236,13.3932,13.51278,32509,NMA
1990-05-23,13.3932,13.63236,13.3932,13.63236,38258,NMA
1990-05-24,13.63236,13.63236,13.51278,13.51278,34809,NMA
1990-05-25,13.51278,13.63236,13.51278,13.63236,35122,NMA
1990-05-29,13.51278,13.63236,13.51278,13.63236,36899,NMA
1990-05-30,13.63236,13.75195,13.51278,13.63236,59687,NMA
1990-05-31,13.63236,13.75195,13.63236,13.63236,31673,NMA
1990-06-01,13.75195,13.75195,13.63236,13.63236,35436,NMA
1990-06-04,13.75195,13.75195,13.63236,13.63236,35540,NMA
1990-06-05,13.75195,13.75195,13.51278,13.63236,46412,NMA
1990-06-06,13.63236,13.75195,13.51278,13.63236,37108,NMA
1990-06-07,13.63236,13.75195,13.63236,13.75195,25610,NMA
1990-06-08,13.75195,13.871529999999998,13.63236,13.75195,44635,NMA
1990-06-11,13.75195,13.871529999999998,13.63236,13.871529999999998,18397,NMA
1990-06-12,13.75195,13.871529999999998,13.75195,13.75195,28746,NMA
1990-06-13,13.75195,13.871529999999998,13.63236,13.75195,22788,NMA
1990-06-14,13.63236,13.75195,13.63236,13.75195,44635,NMA
1990-06-15,13.75195,13.75195,13.63236,13.75195,46412,NMA
1990-06-18,13.75195,13.75195,13.51278,13.63236,42858,NMA
1990-06-19,13.63236,13.75195,13.51278,13.51278,36481,NMA
1990-06-20,13.63236,13.63236,13.51278,13.51278,42858,NMA
1990-06-21,13.51278,13.63236,13.3932,13.3932,21220,NMA
1990-06-22,13.51278,13.51278,13.3932,13.51278,66795,NMA
1990-06-25,13.3932,13.51278,13.3932,13.51278,40453,NMA
1990-06-26,13.51278,13.51278,13.3932,13.51278,37840,NMA
1990-06-27,13.51278,13.51278,13.3932,13.51278,41290,NMA
1990-06-28,13.51278,13.63236,13.3932,13.63236,38990,NMA
1990-06-29,13.63236,14.11069,13.51278,13.63236,25715,NMA
1990-07-02,13.63236,13.871529999999998,13.63236,13.871529999999998,34600,NMA
1990-07-03,13.871529999999998,13.871529999999998,13.75195,13.75195,35331,NMA
1990-07-05,13.871529999999998,13.871529999999998,13.75195,13.871529999999998,26655,NMA
1990-07-06,13.871529999999998,14.11069,13.871529999999998,13.99111,44948,NMA
1990-07-09,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,34077,NMA
1990-07-10,13.871529999999998,13.99111,13.75195,13.99111,60419,NMA
1990-07-11,13.75195,13.871529999999998,13.75195,13.871529999999998,39722,NMA
1990-07-12,13.871529999999998,14.11069,13.75195,13.871529999999998,42858,NMA
1990-07-13,13.99111,13.99111,13.871529999999998,13.99111,20906,NMA
1990-07-16,13.99111,13.99111,13.871529999999998,13.871529999999998,18606,NMA
1990-07-17,13.871529999999998,13.99111,13.871529999999998,13.99111,62509,NMA
1990-07-18,13.99111,13.99111,13.871529999999998,13.871529999999998,40558,NMA
1990-07-19,13.871529999999998,14.11069,13.871529999999998,13.99111,92301,NMA
1990-07-20,13.99111,14.11069,13.871529999999998,13.871529999999998,37945,NMA
1990-07-23,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,26655,NMA
1990-07-24,13.99111,13.99111,13.871529999999998,13.871529999999998,24669,NMA
1990-07-25,13.871529999999998,13.99111,13.871529999999998,13.99111,49234,NMA
1990-07-26,13.871529999999998,13.99111,13.871529999999998,13.99111,18816,NMA
1990-07-27,13.99111,13.99111,13.871529999999998,13.99111,29582,NMA
1990-07-30,13.871529999999998,13.99111,13.871529999999998,13.871529999999998,13589,NMA
1990-07-31,13.99111,14.11069,13.99111,14.11069,55715,NMA
1990-08-01,14.11069,14.11069,13.99111,13.99111,17248,NMA
1990-08-02,14.11069,14.11069,13.99111,14.11069,24147,NMA
1990-08-03,14.11069,14.23027,13.99111,13.99111,59164,NMA
1990-08-06,14.11069,14.11069,13.99111,13.99111,38049,NMA
1990-08-07,13.99111,14.11069,13.99111,13.99111,51325,NMA
1990-08-08,14.11069,14.11069,13.871529999999998,13.99111,60628,NMA
1990-08-09,13.99111,13.99111,13.75195,13.99111,40453,NMA
1990-08-10,13.99111,13.99111,13.75195,13.75195,51011,NMA
1990-08-13,13.75195,13.871529999999998,13.63236,13.871529999999998,40662,NMA
1990-08-14,13.871529999999998,13.871529999999998,13.75195,13.871529999999998,30418,NMA
1990-08-15,13.871529999999998,13.99111,13.75195,13.99111,63973,NMA
1990-08-16,13.99111,13.99111,13.871529999999998,13.871529999999998,35854,NMA
1990-08-17,13.99111,13.99111,13.75195,13.75195,14948,NMA
1990-08-20,13.75195,13.871529999999998,13.63236,13.63236,48711,NMA
1990-08-21,13.63236,13.63236,13.3932,13.51278,67422,NMA
1990-08-22,13.63236,13.63236,13.51278,13.51278,24669,NMA
1990-08-23,13.3932,13.51278,13.15404,13.3932,58328,NMA
1990-08-24,13.273620000000001,13.3932,13.15404,13.273620000000001,49338,NMA
1990-08-27,13.3932,13.51278,13.3932,13.51278,43798,NMA
1990-08-28,13.51278,13.63236,13.51278,13.63236,25296,NMA
1990-08-29,13.63236,13.63236,13.51278,13.51278,23833,NMA
1990-08-30,13.63236,13.63236,13.51278,13.63236,35645,NMA
1990-08-31,13.63236,13.75195,13.51278,13.63236,22788,NMA
1990-09-04,13.75195,13.75195,13.51278,13.63236,33345,NMA
1990-09-05,13.63236,13.871529999999998,13.63236,13.871529999999998,41603,NMA
1990-09-06,13.871529999999998,13.871529999999998,13.273620000000001,13.3932,147806,NMA
1990-09-07,13.51278,13.51278,13.3932,13.51278,38467,NMA
1990-09-10,13.273620000000001,13.3932,13.273620000000001,13.3932,37213,NMA
1990-09-11,13.3932,13.3932,13.15404,13.15404,69617,NMA
1990-09-12,13.15404,13.3932,13.15404,13.3932,39304,NMA
1990-09-13,13.3932,13.51278,13.273620000000001,13.3932,63555,NMA
1990-09-14,13.3932,13.51278,13.273620000000001,13.3932,29164,NMA
1990-09-17,13.51278,13.51278,13.273620000000001,13.273620000000001,114566,NMA
1990-09-18,13.273620000000001,13.3932,13.15404,13.273620000000001,46307,NMA
1990-09-19,13.15404,13.3932,13.15404,13.3932,82266,NMA
1990-09-20,13.3932,13.3932,13.273620000000001,13.273620000000001,75367,NMA
1990-09-21,13.3932,13.3932,13.15404,13.273620000000001,63032,NMA
1990-09-24,13.15404,13.273620000000001,13.03445,13.15404,43903,NMA
